xv,yv,rho
490,148,32
491,148,31
492,148,29
493,148,26
494,148,30
495,148,64
496,148,83
497,148,130
498,148,137
499,148,112
500,148,92
501,148,73
502,148,46
503,148,53
504,148,63
505,148,63
506,148,58
507,148,53
508,148,53
509,148,45
510,148,30
511,148,45
512,148,69
513,148,138
514,148,138
515,148,138
516,148,138
517,148,138
518,148,138
519,148,94
520,148,75
521,148,75
522,148,44
523,148,7
524,148,0
525,148,0
526,148,0
527,148,0
528,148,5
529,148,81
530,148,67
531,148,73
532,148,85
533,148,153
534,148,133
535,148,69
536,148,68
537,148,47
538,148,47
539,148,59
540,148,70
541,148,70
542,148,82
543,148,93
544,148,93
545,148,93
546,148,76
547,148,59
548,148,60
549,148,61
550,148,61
551,148,61
552,148,86
553,148,74
554,148,190
555,148,206
556,148,206
557,148,206
558,148,206
559,148,199
560,148,94
561,148,93
562,148,93
563,148,93
564,148,97
565,148,168
566,148,169
567,148,168
568,148,106
569,148,103
570,148,102
571,148,85
572,148,74
573,148,80
490,149,64
491,149,50
492,149,32
493,149,22
494,149,31
495,149,70
496,149,136
497,149,137
498,149,137
499,149,2037
500,149,1021
501,149,179
502,149,39
503,149,47
504,149,64
505,149,63
506,149,55
507,149,53
508,149,54
509,149,49
510,149,31
511,149,43
512,149,85
513,149,138
514,149,138
515,149,138
516,149,138
517,149,138
518,149,138
519,149,91
520,149,75
521,149,75
522,149,33
523,149,1
524,149,469
525,149,395
526,149,361
527,149,310
528,149,1
529,149,64
530,149,64
531,149,88
532,149,153
533,149,153
534,149,132
535,149,69
536,149,62
537,149,44
538,149,64
539,149,76
540,149,75
541,149,72
542,149,74
543,149,92
544,149,92
545,149,92
546,149,79
547,149,63
548,149,64
549,149,71
550,149,66
551,149,81
552,149,185
553,149,115
554,149,165
555,149,194
556,149,99
557,149,164
558,149,206
559,149,130
560,149,93
561,149,93
562,149,93
563,149,93
564,149,105
565,149,157
566,149,169
567,149,150
568,149,113
569,149,103
570,149,98
571,149,86
572,149,86
573,149,108
490,150,87
491,150,87
492,150,87
493,150,75
494,150,62
495,150,64
496,150,75
497,150,117
498,150,168
499,150,222
500,150,222
501,150,106
502,150,38
503,150,38
504,150,90
505,150,79
506,150,51
507,150,55
508,150,56
509,150,42
510,150,43
511,150,45
512,150,62
513,150,80
514,150,109
515,150,138
516,150,138
517,150,138
518,150,138
519,150,89
520,150,75
521,150,62
522,150,47
523,150,29
524,150,540
525,150,522
526,150,310
527,150,310
528,150,1
529,150,62
530,150,64
531,150,86
532,150,153
533,150,153
534,150,145
535,150,69
536,150,57
537,150,44
538,150,68
539,150,76
540,150,74
541,150,72
542,150,73
543,150,89
544,150,92
545,150,92
546,150,76
547,150,64
548,150,72
549,150,73
550,150,67
551,150,116
552,150,185
553,150,169
554,150,203
555,150,175
556,150,70
557,150,177
558,150,206
559,150,130
560,150,93
561,150,93
562,150,93
563,150,95
564,150,150
565,150,169
566,150,109
567,150,59
568,150,82
569,150,103
570,150,100
571,150,86
572,150,86
573,150,114
490,151,87
491,151,87
492,151,87
493,151,80
494,151,64
495,151,64
496,151,64
497,151,116
498,151,222
499,151,222
500,151,207
501,151,118
502,151,38
503,151,45
504,151,94
505,151,54
506,151,51
507,151,56
508,151,55
509,151,41
510,151,43
511,151,45
512,151,55
513,151,72
514,151,84
515,151,111
516,151,96
517,151,86
518,151,89
519,151,75
520,151,75
521,151,61
522,151,46
523,151,34
524,151,354
525,151,393
526,151,5
527,151,5
528,151,2
529,151,57
530,151,67
531,151,132
532,151,153
533,151,153
534,151,136
535,151,69
536,151,51
537,151,44
538,151,75
539,151,76
540,151,73
541,151,72
542,151,72
543,151,81
544,151,92
545,151,92
546,151,77
547,151,64
548,151,73
549,151,73
550,151,67
551,151,164
552,151,185
553,151,185
554,151,188
555,151,144
556,151,88
557,151,67
558,151,80
559,151,71
560,151,68
561,151,77
562,151,86
563,151,88
564,151,117
565,151,169
566,151,162
567,151,68
568,151,82
569,151,100
570,151,102
571,151,93
572,151,113
573,151,138
490,152,87
491,152,87
492,152,87
493,152,86
494,152,69
495,152,64
496,152,64
497,152,80
498,152,205
499,152,142
500,152,116
501,152,65
502,152,57
503,152,75
504,152,95
505,152,61
506,152,49
507,152,55
508,152,56
509,152,45
510,152,43
511,152,45
512,152,55
513,152,71
514,152,71
515,152,67
516,152,65
517,152,65
518,152,65
519,152,60
520,152,72
521,152,53
522,152,43
523,152,40
524,152,118
525,152,7
526,152,32
527,152,39
528,152,52
529,152,100
530,152,122
531,152,153
532,152,153
533,152,153
534,152,117
535,152,69
536,152,50
537,152,53
538,152,76
539,152,75
540,152,72
541,152,72
542,152,72
543,152,82
544,152,92
545,152,92
546,152,70
547,152,64
548,152,73
549,152,72
550,152,65
551,152,172
552,152,185
553,152,185
554,152,185
555,152,115
556,152,88
557,152,70
558,152,63
559,152,62
560,152,68
561,152,79
562,152,83
563,152,84
564,152,84
565,152,113
566,152,113
567,152,150
568,152,93
569,152,114
570,152,94
571,152,87
572,152,142
573,152,165
490,153,87
491,153,82
492,153,59
493,153,63
494,153,84
495,153,72
496,153,64
497,153,64
498,153,65
499,153,65
500,153,67
501,153,70
502,153,74
503,153,75
504,153,80
505,153,61
506,153,60
507,153,57
508,153,56
509,153,42
510,153,43
511,153,45
512,153,57
513,153,72
514,153,65
515,153,61
516,153,65
517,153,65
518,153,63
519,153,47
520,153,47
521,153,36
522,153,35
523,153,44
524,153,1
525,153,14
526,153,44
527,153,52
528,153,103
529,153,107
530,153,90
531,153,81
532,153,69
533,153,82
534,153,74
535,153,63
536,153,64
537,153,66
538,153,76
539,153,74
540,153,68
541,153,44
542,153,42
543,153,82
544,153,92
545,153,91
546,153,65
547,153,64
548,153,72
549,153,72
550,153,67
551,153,177
552,153,185
553,153,185
554,153,185
555,153,111
556,153,89
557,153,89
558,153,99
559,153,81
560,153,81
561,153,81
562,153,81
563,153,84
564,153,86
565,153,86
566,153,86
567,153,193
568,153,212
569,153,184
570,153,118
571,153,81
572,153,136
573,153,268
490,154,86
491,154,45
492,154,36
493,154,36
494,154,39
495,154,43
496,154,63
497,154,65
498,154,67
499,154,70
500,154,70
501,154,71
502,154,75
503,154,75
504,154,75
505,154,75
506,154,75
507,154,62
508,154,55
509,154,41
510,154,45
511,154,47
512,154,66
513,154,72
514,154,64
515,154,68
516,154,86
517,154,108
518,154,78
519,154,46
520,154,46
521,154,36
522,154,35
523,154,51
524,154,6
525,154,18
526,154,68
527,154,74
528,154,107
529,154,107
530,154,60
531,154,29
532,154,39
533,154,49
534,154,48
535,154,57
536,154,68
537,154,43
538,154,76
539,154,72
540,154,39
541,154,26
542,154,28
543,154,83
544,154,92
545,154,92
546,154,67
547,154,65
548,154,73
549,154,72
550,154,64
551,154,174
552,154,185
553,154,185
554,154,175
555,154,99
556,154,89
557,154,90
558,154,100
559,154,86
560,154,81
561,154,81
562,154,81
563,154,85
564,154,86
565,154,84
566,154,82
567,154,214
568,154,230
569,154,183
570,154,65
571,154,118
572,154,170
573,154,663
490,155,27
491,155,36
492,155,36
493,155,36
494,155,36
495,155,47
496,155,69
497,155,70
498,155,70
499,155,70
500,155,70
501,155,73
502,155,75
503,155,75
504,155,75
505,155,75
506,155,73
507,155,65
508,155,43
509,155,48
510,155,44
511,155,46
512,155,66
513,155,68
514,155,57
515,155,74
516,155,125
517,155,125
518,155,120
519,155,70
520,155,44
521,155,35
522,155,41
523,155,54
524,155,10
525,155,16
526,155,70
527,155,71
528,155,105
529,155,107
530,155,58
531,155,29
532,155,39
533,155,49
534,155,46
535,155,62
536,155,50
537,155,27
538,155,71
539,155,52
540,155,26
541,155,26
542,155,28
543,155,88
544,155,92
545,155,87
546,155,64
547,155,68
548,155,73
549,155,70
550,155,65
551,155,180
552,155,185
553,155,185
554,155,150
555,155,89
556,155,89
557,155,93
558,155,101
559,155,99
560,155,81
561,155,81
562,155,81
563,155,74
564,155,58
565,155,77
566,155,161
567,155,286
568,155,228
569,155,138
570,155,123
571,155,100
572,155,109
573,155,598
490,156,12
491,156,36
492,156,36
493,156,36
494,156,43
495,156,69
496,156,70
497,156,70
498,156,70
499,156,70
500,156,70
501,156,72
502,156,73
503,156,75
504,156,75
505,156,71
506,156,65
507,156,65
508,156,45
509,156,61
510,156,47
511,156,56
512,156,68
513,156,62
514,156,53
515,156,70
516,156,120
517,156,117
518,156,96
519,156,67
520,156,45
521,156,35
522,156,45
523,156,54
524,156,22
525,156,36
526,156,70
527,156,70
528,156,80
529,156,96
530,156,44
531,156,45
532,156,50
533,156,49
534,156,46
535,156,65
536,156,31
537,156,26
538,156,30
539,156,26
540,156,27
541,156,28
542,156,38
543,156,71
544,156,70
545,156,70
546,156,64
547,156,71
548,156,72
549,156,65
550,156,64
551,156,131
552,156,167
553,156,185
554,156,129
555,156,89
556,156,89
557,156,92
558,156,100
559,156,101
560,156,88
561,156,81
562,156,81
563,156,51
564,156,73
565,156,105
566,156,168
567,156,304
568,156,222
569,156,138
570,156,138
571,156,70
572,156,70
573,156,92
490,157,1
491,157,30
492,157,36
493,157,36
494,157,63
495,157,70
496,157,70
497,157,70
498,157,70
499,157,70
500,157,70
501,157,70
502,157,70
503,157,72
504,157,58
505,157,65
506,157,51
507,157,56
508,157,66
509,157,70
510,157,68
511,157,72
512,157,68
513,157,66
514,157,74
515,157,124
516,157,125
517,157,87
518,157,61
519,157,61
520,157,173
521,157,140
522,157,60
523,157,54
524,157,54
525,157,55
526,157,63
527,157,66
528,157,69
529,157,61
530,157,61
531,157,61
532,157,58
533,157,50
534,157,64
535,157,56
536,157,26
537,157,24
538,157,24
539,157,24
540,157,31
541,157,29
542,157,37
543,157,35
544,157,34
545,157,53
546,157,71
547,157,73
548,157,67
549,157,64
550,157,67
551,157,72
552,157,84
553,157,141
554,157,111
555,157,80
556,157,76
557,157,86
558,157,84
559,157,95
560,157,88
561,157,81
562,157,81
563,157,58
564,157,57
565,157,121
566,157,78
567,157,249
568,157,243
569,157,138
570,157,121
571,157,56
572,157,74
573,157,68
490,158,0
491,158,37
492,158,48
493,158,51
494,158,86
495,158,84
496,158,69
497,158,70
498,158,70
499,158,69
500,158,70
501,158,70
502,158,64
503,158,45
504,158,41
505,158,50
506,158,34
507,158,45
508,158,68
509,158,72
510,158,72
511,158,69
512,158,45
513,158,46
514,158,71
515,158,125
516,158,124
517,158,66
518,158,61
519,158,93
520,158,197
521,158,197
522,158,133
523,158,54
524,158,54
525,158,54
526,158,54
527,158,46
528,158,50
529,158,61
530,158,61
531,158,61
532,158,61
533,158,62
534,158,73
535,158,73
536,158,52
537,158,24
538,158,24
539,158,24
540,158,33
541,158,33
542,158,33
543,158,34
544,158,34
545,158,68
546,158,76
547,158,72
548,158,64
549,158,65
550,158,71
551,158,72
552,158,72
553,158,69
554,158,58
