xv,yv,rho
490,148,47
491,148,38
492,148,36
493,148,33
494,148,35
495,148,60
496,148,91
497,148,164
498,148,175
499,148,146
500,148,120
501,148,89
502,148,44
503,148,51
504,148,63
505,148,63
506,148,61
507,148,59
508,148,59
509,148,50
510,148,31
511,148,44
512,148,75
513,148,176
514,148,176
515,148,176
516,148,176
517,148,176
518,148,176
519,148,119
520,148,95
521,148,95
522,148,106
523,148,188
524,148,223
525,148,258
526,148,224
527,148,224
528,148,210
529,148,87
530,148,70
531,148,66
532,148,57
533,148,71
534,148,71
535,148,71
536,148,70
537,148,42
538,148,42
539,148,59
540,148,75
541,148,68
542,148,76
543,148,82
544,148,84
545,148,84
546,148,74
547,148,63
548,148,58
549,148,55
550,148,55
551,148,55
552,148,91
553,148,80
554,148,342
555,148,378
556,148,378
557,148,378
558,148,378
559,148,361
560,148,110
561,148,107
562,148,107
563,148,107
564,148,110
565,148,171
566,148,171
567,148,170
568,148,113
569,148,110
570,148,109
571,148,94
572,148,82
573,148,89
490,149,73
491,149,57
492,149,40
493,149,30
494,149,38
495,149,73
496,149,174
497,149,175
498,149,175
499,149,2618
500,149,1497
501,149,313
502,149,53
503,149,57
504,149,63
505,149,63
506,149,59
507,149,59
508,149,58
509,149,54
510,149,33
511,149,45
512,149,97
513,149,176
514,149,176
515,149,176
516,149,176
517,149,176
518,149,176
519,149,116
520,149,95
521,149,95
522,149,165
523,149,221
524,149,707
525,149,596
526,149,545
527,149,468
528,149,221
529,149,71
530,149,70
531,149,70
532,149,71
533,149,71
534,149,71
535,149,71
536,149,61
537,149,39
538,149,67
539,149,84
540,149,80
541,149,70
542,149,73
543,149,91
544,149,92
545,149,92
546,149,80
547,149,67
548,149,68
549,149,90
550,149,70
551,149,84
552,149,217
553,149,129
554,149,286
555,149,352
556,149,137
557,149,282
558,149,378
559,149,196
560,149,107
561,149,107
562,149,107
563,149,107
564,149,117
565,149,161
566,149,171
567,149,158
568,149,122
569,149,110
570,149,106
571,149,97
572,149,97
573,149,121
490,150,94
491,150,94
492,150,93
493,150,82
