xv,yv,rho
490,148,91
491,148,52
492,148,47
493,148,43
494,148,49
495,148,95
496,148,98
497,148,104
498,148,859
499,148,789
500,148,283
501,148,197
502,148,69
503,148,61
504,148,67
505,148,67
506,148,84
507,148,101
508,148,101
509,148,83
510,148,48
511,148,42
512,148,56
513,148,121
514,148,121
515,148,841
516,148,1354
517,148,672
518,148,121
519,148,124
520,148,125
521,148,125
522,148,345
523,148,951
524,148,1162
525,148,1171
526,148,1170
527,148,1170
528,148,1087
529,148,283
530,148,128
531,148,116
532,148,92
533,148,99
534,148,101
535,148,107
536,148,105
537,148,49
538,148,60
539,148,126
540,148,183
541,148,130
542,148,134
543,148,133
544,148,133
545,148,133
546,148,103
547,148,73
548,148,57
549,148,46
550,148,46
551,148,46
552,148,73
553,148,68
554,148,87
555,148,89
556,148,89
557,148,89
558,148,298
559,148,680
560,148,100
561,148,100
562,148,100
563,148,100
564,148,103
565,148,160
566,148,161
567,148,159
568,148,101
569,148,99
570,148,98
571,148,90
572,148,83
573,148,82
490,149,156
491,149,113
492,149,67
493,149,39
494,149,53
495,149,101
496,149,105
497,149,105
498,149,1481
499,149,2306
500,149,2058
501,149,1487
502,149,170
503,149,141
504,149,74
505,149,67
506,149,92
507,149,101
508,149,98
509,149,90
510,149,48
511,149,46
512,149,81
513,149,121
514,149,121
515,149,946
516,149,1396
517,149,1147
518,149,121
519,149,124
520,149,125
521,149,125
522,149,701
523,149,1150
524,149,1171
525,149,1171
526,149,1171
527,149,1171
528,149,1151
529,149,136
530,149,128
531,149,120
532,149,99
533,149,99
534,149,101
535,149,107
536,149,89
537,149,43
538,149,150
539,149,215
540,149,194
541,149,135
542,149,135
543,149,134
544,149,134
545,149,134
546,149,107
547,149,75
548,149,69
549,149,97
550,149,71
551,149,63
552,149,93
553,149,77
554,149,83
555,149,89
556,149,89
557,149,89
558,149,89
559,149,96
560,149,100
561,149,100
562,149,100
563,149,100
564,149,110
565,149,151
566,149,161
567,149,158
568,149,117
569,149,99
570,149,96
571,149,91
572,149,91
573,149,94
490,150,214
491,150,214
492,150,213
493,150,180
494,150,110
495,150,110
496,150,110
497,150,120
498,150,986
499,150,2393
500,150,2402
501,150,1015
502,150,207
503,150,207
504,150,110
505,150,84
506,150,66
507,150,90
508,150,86
509,150,49
510,150,45
511,150,47
512,150,94
513,150,117
514,150,119
515,150,139
516,150,622
517,150,1023
518,150,121
519,150,125
520,150,125
521,150,95
522,150,58
523,150,469
524,150,1171
525,150,1171
526,150,1171
527,150,1171
528,150,1149
529,150,164
530,150,128
531,150,121
532,150,99
533,150,99
534,150,100
535,150,107
536,150,77
537,150,43
538,150,176
539,150,215
540,150,180
541,150,135
542,150,135
543,150,134
544,150,134
545,150,134
546,150,100
547,150,75
548,150,103
549,150,106
550,150,78
551,150,78
552,150,93
553,150,89
554,150,89
555,150,89
556,150,89
557,150,89
558,150,89
559,150,96
560,150,100
561,150,100
562,150,100
563,150,102
564,150,144
565,150,161
566,150,151
567,150,143
568,150,119
569,150,99
570,150,97
571,150,91
572,150,91
573,150,94
490,151,214
491,151,214
492,151,214
493,151,180
494,151,110
495,151,110
496,151,110
497,151,510
498,151,2376
499,151,2239
500,151,2175
501,151,959
502,151,206
503,151,193
504,151,99
505,151,60
506,151,64
507,151,87
508,151,84
509,151,40
510,151,44
511,151,47
512,151,77
513,151,116
514,151,117
515,151,101
516,151,127
517,151,227
518,151,84
519,151,108
520,151,125
521,151,92
522,151,56
523,151,358
524,151,1171
525,151,1171
526,151,1014
527,151,1029
528,151,1128
529,151,268
530,151,127
531,151,106
532,151,99
533,151,99
534,151,101
535,151,107
536,151,60
537,151,43
538,151,210
539,151,215
540,151,169
541,151,135
542,151,135
543,151,134
544,151,134
545,151,134
546,151,102
547,151,76
548,151,106
549,151,106
550,151,76
551,151,89
552,151,93
553,151,93
554,151,93
555,151,90
556,151,90
557,151,69
558,151,71
559,151,73
560,151,73
561,151,60
562,151,67
563,151,71
564,151,95
565,151,161
566,151,167
567,151,146
568,151,119
569,151,98
570,151,98
571,151,95
572,151,127
573,151,153
490,152,214
491,152,214
492,152,214
493,152,209
494,152,131
495,152,110
496,152,110
497,152,110
498,152,492
499,152,576
500,152,858
501,152,133
502,152,160
503,152,138
504,152,100
505,152,67
506,152,56
507,152,83
508,152,87
509,152,52
510,152,44
511,152,47
512,152,79
513,152,115
514,152,105
515,152,67
516,152,66
517,152,66
518,152,66
519,152,82
520,152,119
521,152,122
522,152,86
523,152,182
524,152,491
525,152,345
526,152,251
527,152,39
528,152,253
529,152,328
530,152,188
531,152,99
532,152,99
533,152,102
534,152,102
535,152,107
536,152,57
537,152,91
538,152,215
539,152,196
540,152,135
541,152,135
542,152,135
543,152,134
544,152,134
545,152,134
546,152,87
547,152,76
548,152,106
549,152,101
550,152,67
551,152,163
552,152,523
553,152,452
554,152,254
555,152,91
556,152,91
557,152,82
558,152,72
559,152,68
560,152,83
561,152,111
562,152,85
563,152,54
564,152,56
565,152,94
566,152,94
567,152,170
568,152,140
569,152,116
570,152,99
571,152,97
572,152,166
573,152,195
490,153,214
491,153,210
492,153,194
493,153,197
494,153,204
495,153,143
496,153,110
497,153,110
498,153,110
499,153,174
500,153,388
501,153,623
502,153,190
503,153,139
504,153,129
505,153,84
506,153,89
507,153,88
508,153,87
509,153,45
510,153,44
511,153,47
512,153,82
513,153,116
514,153,93
515,153,63
516,153,66
517,153,66
518,153,67
519,153,76
520,153,77
521,153,169
522,153,175
523,153,252
524,153,161
525,153,131
526,153,46
527,153,80
528,153,302
529,153,328
530,153,228
531,153,79
532,153,382
533,153,1054
534,153,630
535,153,97
536,153,93
537,153,167
538,153,215
539,153,180
540,153,126
541,153,67
542,153,112
543,153,135
544,153,134
545,153,132
546,153,78
547,153,75
548,153,103
549,153,100
550,153,69
551,153,199
552,153,662
553,153,696
554,153,695
555,153,210
556,153,90
557,153,90
558,153,146
559,153,116
560,153,117
561,153,117
562,153,113
563,153,57
564,153,63
565,153,66
566,153,66
567,153,172
568,153,190
569,153,166
570,153,109
571,153,90
572,153,170
573,153,487
490,154,219
491,154,184
492,154,177
493,154,177
494,154,180
495,154,167
496,154,163
497,154,136
498,154,357
499,154,638
500,154,649
501,154,492
502,154,144
503,154,139
504,154,139
505,154,139
506,154,139
507,154,100
508,154,83
509,154,40
510,154,47
511,154,53
512,154,105
513,154,116
514,154,92
515,154,118
516,154,188
517,154,316
518,154,203
519,154,76
520,154,77
521,154,173
522,154,176
523,154,310
524,154,178
525,154,143
526,154,99
527,154,163
528,154,328
529,154,328
530,154,170
531,154,66
532,154,618
533,154,1179
534,154,964
535,154,75
536,154,111
537,154,218
538,154,212
539,154,141
540,154,54
541,154,21
542,154,109
543,154,135
544,154,134
545,154,134
546,154,83
547,154,78
548,154,105
549,154,98
550,154,66
551,154,272
552,154,696
553,154,696
554,154,631
555,154,149
556,154,90
557,154,93
558,154,150
559,154,126
560,154,117
561,154,117
562,154,117
563,154,80
564,154,66
565,154,66
566,154,66
567,154,226
568,154,232
569,154,171
570,154,53
571,154,222
572,154,341
573,154,1552
490,155,326
491,155,178
492,155,177
493,155,177
494,155,177
495,155,327
496,155,642
497,155,632
498,155,649
499,155,649
500,155,649
501,155,338
502,155,139
503,155,139
504,155,139
505,155,139
506,155,118
507,155,56
508,155,62
509,155,46
510,155,45
511,155,50
512,155,107
513,155,104
514,155,69
515,155,162
516,155,417
517,155,417
518,155,395
519,155,186
520,155,98
