xv,yv,rho
490,148,129
491,148,58
492,148,50
493,148,46
494,148,54
495,148,109
496,148,291
497,148,841
498,148,1112
499,148,1272
500,148,1597
501,148,1597
502,148,1105
503,148,130
504,148,84
505,148,84
506,148,117
507,148,149
508,148,149
509,148,120
510,148,62
511,148,37
512,148,91
513,148,343
514,148,265
515,148,1083
516,148,1648
517,148,926
518,148,334
519,148,262
520,148,150
521,148,148
522,148,383
523,148,1025
524,148,1257
525,148,1257
526,148,1257
527,148,1257
528,148,1256
529,148,378
530,148,149
531,148,146
532,148,142
533,148,134
534,148,155
535,148,220
536,148,214
537,148,81
538,148,95
539,148,207
540,148,299
541,148,180
542,148,169
543,148,149
544,148,154
545,148,154
546,148,123
547,148,89
548,148,62
549,148,42
550,148,42
551,148,43
552,148,87
553,148,100
554,148,179
555,148,190
556,148,190
557,148,190
558,148,394
559,148,1038
560,148,1038
561,148,964
562,148,178
563,148,134
564,148,135
565,148,146
566,148,146
567,148,145
568,148,96
569,148,95
570,148,94
571,148,87
572,148,82
573,148,85
490,149,286
491,149,199
492,149,100
493,149,42
494,149,71
495,149,157
496,149,964
497,149,1597
498,149,1597
499,149,1597
500,149,1597
501,149,1597
502,149,1596
503,149,1024
504,149,143
505,149,84
506,149,133
507,149,149
508,149,160
509,149,138
510,149,72
511,149,49
512,149,57
513,149,250
514,149,335
515,149,1213
516,149,1693
517,149,1468
518,149,351
519,149,553
520,149,404
521,149,148
522,149,759
523,149,1237
524,149,1257
525,149,1257
526,149,1257
527,149,1257
528,149,1236
529,149,162
530,149,149
531,149,145
532,149,134
533,149,134
534,149,156
535,149,220
536,149,175
537,149,65
538,149,245
539,149,355
540,149,310
541,149,187
542,149,185
543,149,173
544,149,173
545,149,173
546,149,139
547,149,98
548,149,78
549,149,110
550,149,91
551,149,85
552,149,103
553,149,100
554,149,162
555,149,190
556,149,190
557,149,190
558,149,280
559,149,876
560,149,833
561,149,207
562,149,134
563,149,134
564,149,136
565,149,144
566,149,146
567,149,141
568,149,102
569,149,95
570,149,92
571,149,87
572,149,87
573,149,94
490,150,412
491,150,412
492,150,410
493,150,340
494,150,243
495,150,253
496,150,436
497,150,1216
498,150,1597
499,150,1597
500,150,1597
501,150,1597
502,150,1597
503,150,1449
504,150,277
505,150,117
506,150,93
507,150,192
508,150,210
509,150,302
510,150,221
511,150,149
512,150,27
513,150,27
514,150,29
515,150,59
516,150,1146
517,150,1693
518,150,747
519,150,563
520,150,416
521,150,131
522,150,111
523,150,536
524,150,1257
525,150,1257
526,150,1257
527,150,1257
528,150,1257
529,150,773
530,150,149
531,150,145
532,150,134
533,150,134
534,150,143
535,150,220
536,150,147
537,150,65
538,150,289
539,150,355
540,150,282
541,150,187
542,150,186
543,150,175
544,150,173
545,150,173
546,150,130
547,150,99
548,150,119
549,150,122
550,150,115
551,150,108
552,150,103
553,150,107
554,150,181
555,150,183
556,150,184
557,150,187
558,150,190
559,150,163
560,150,151
561,150,134
562,150,134
563,150,134
564,150,142
565,150,146
566,150,131
567,150,118
568,150,105
569,150,95
570,150,93
571,150,87
572,150,87
573,150,96
490,151,412
491,151,412
492,151,412
493,151,360
494,151,253
495,151,253
496,151,253
497,151,761
498,151,1597
499,151,1597
500,151,1597
501,151,1597
502,151,1597
503,151,244
504,151,146
505,151,66
506,151,99
507,151,207
508,151,215
509,151,355
510,151,244
511,151,154
512,151,29
513,151,27
514,151,29
515,151,52
516,151,636
517,151,420
518,151,197
519,151,457
520,151,382
521,151,130
522,151,110
523,151,421
524,151,1257
525,151,1257
526,151,1101
527,151,1115
528,151,1233
529,151,713
530,151,148
531,151,138
532,151,134
533,151,134
534,151,152
535,151,220
536,151,107
537,151,66
538,151,346
539,151,355
540,151,258
541,151,187
542,151,187
543,151,180
544,151,173
545,151,173
546,151,133
547,151,100
548,151,122
549,151,122
550,151,114
551,151,104
552,151,103
553,151,103
554,151,115
555,151,148
556,151,128
557,151,66
558,151,76
559,151,73
560,151,71
561,151,59
562,151,79
563,151,85
564,151,91
565,151,146
566,151,155
567,151,122
568,151,105
569,151,98
570,151,97
571,151,95
572,151,137
573,151,171
490,152,412
491,152,412
492,152,412
493,152,405
494,152,285
495,152,253
496,152,253
497,152,528
498,152,1439
499,152,1073
500,152,1436
501,152,1555
502,152,1101
503,152,246
504,152,147
505,152,80
506,152,58
507,152,189
508,152,208
509,152,318
510,152,252
511,152,170
512,152,194
513,152,379
514,152,333
515,152,147
516,152,96
517,152,96
518,152,96
519,152,195
520,152,229
521,152,169
522,152,144
523,152,320
524,152,746
525,152,585
526,152,339
527,152,127
528,152,370
529,152,492
530,152,269
531,152,134
532,152,134
533,152,138
534,152,171
535,152,220
536,152,118
537,152,147
538,152,355
539,152,315
540,152,188
541,152,187
542,152,187
543,152,180
544,152,173
545,152,173
546,152,114
