"","long","lat","cluster_id","add.data"
"54",496,157,20,1051
"55",496,158,20,3360
"75",497,157,20,1884
"76",497,158,20,5589
"77",497,159,20,2250
"90",498,157,20,1527
"91",498,158,20,4866
"92",498,159,20,1976
"93",498,170,20,1773
"106",499,156,20,1312
"107",499,157,20,2499
"108",499,158,20,4250
"109",499,159,20,3269
"110",499,170,20,1586
"111",499,171,20,1287
"126",500,156,20,1953
"127",500,157,20,2954
"128",500,158,20,2667
"129",500,159,20,2335
"130",500,170,20,1601
"131",500,171,20,1186
"142",501,157,20,2543
"143",501,158,20,1938
"144",501,159,20,4264
"145",501,170,20,1207
"146",501,171,20,2064
"153",502,159,20,2639
"154",502,160,20,3072
"155",502,163,20,1294
"156",502,170,20,3513
"157",502,171,20,2562
"162",503,159,20,2224
"163",503,160,20,1983
"164",503,161,20,1816
"165",503,162,20,1102
"166",503,163,20,1657
"167",503,165,20,1098
"168",503,166,20,1888
"169",503,167,20,1231
"170",503,169,20,1133
"171",503,170,20,2030
"172",503,171,20,2324
"179",504,160,20,1268
"180",504,161,20,3018
"181",504,162,20,2864
"182",504,163,20,2005
"183",504,164,20,3876
"184",504,165,20,1736
"185",504,166,20,3111
"186",504,169,20,1713
"187",504,170,20,4213
"188",504,171,20,2598
"189",504,183,20,1113
"196",505,161,20,1596
"197",505,162,20,1340
"198",505,164,20,3927
"199",505,170,20,3846
"200",505,171,20,2838
"201",505,172,20,1362
"202",505,173,20,2384
"203",505,174,20,1338
"204",505,178,20,1243
"205",505,179,20,2334
"206",505,180,20,1203
"207",505,181,20,3877
"208",505,182,20,2813
"209",505,183,20,4556
"210",505,184,20,2695
"211",505,185,20,1064
"219",506,160,20,2958
"220",506,161,20,2275
"221",506,164,20,1219
"222",506,171,20,4538
"223",506,172,20,2327
"224",506,173,20,3135
"225",506,178,20,3029
"226",506,179,20,4073
"227",506,180,20,4260
"228",506,181,20,3954
"229",506,182,20,1495
"230",506,183,20,2008
"231",506,184,20,1697
"232",506,185,20,1645
"233",506,186,20,1021
"239",507,163,20,1177
"240",507,164,20,2659
"241",507,165,20,2223
"242",507,167,20,2113
"243",507,168,20,1547
"244",507,170,20,1678
"245",507,171,20,4500
"246",507,177,20,1200
"247",507,178,20,1150
"248",507,179,20,1714
"249",507,181,20,3121
"250",507,182,20,4418
"251",507,183,20,4297
"252",507,184,20,3767
"253",507,185,20,2206
"254",507,186,20,2933
"255",507,195,20,3733
"256",507,196,20,1547
"264",508,163,20,1427
"265",508,164,20,3096
"266",508,165,20,1309
"267",508,167,20,3101
"268",508,168,20,1037
"269",508,170,20,4300
"270",508,171,20,2803
"271",508,173,20,3217
"272",508,174,20,1693
"273",508,177,20,2217
"274",508,178,20,1516
"275",508,179,20,3077
"276",508,180,20,1478
"277",508,181,20,5333
"278",508,182,20,2795
"279",508,183,20,2974
"280",508,184,20,2176
"281",508,185,20,1520
"282",508,186,20,2458
"283",508,187,20,2985
"284",508,188,20,2534
"285",508,191,20,2030
"286",508,192,20,1618
"287",508,195,20,2340
"288",508,196,20,2131
"289",508,200,20,1239
"290",508,201,20,2461
"294",509,164,20,1596
"295",509,165,20,1951
"296",509,166,20,1660
"297",509,168,20,1509
"298",509,169,20,2417
"299",509,170,20,4641
"300",509,171,20,2426
"301",509,172,20,2736
"302",509,173,20,4946
"303",509,174,20,2342
"304",509,178,20,4687
"305",509,179,20,2784
"306",509,180,20,4327
"307",509,181,20,4277
"308",509,182,20,5103
"309",509,183,20,1275
"310",509,186,20,3327
"311",509,187,20,3413
"312",509,188,20,1914
"313",509,189,20,1082
"314",509,190,20,1828
"315",509,191,20,3790
"316",509,192,20,2376
"317",509,195,20,3229
"318",509,196,20,2392
"319",509,197,20,2586
"320",509,198,20,2152
"321",509,199,20,2843
"322",509,201,20,3075
"323",509,202,20,1520
"325",510,164,20,2412
"326",510,165,20,2575
"327",510,166,20,4829
"328",510,167,20,2407
"329",510,168,20,1774
"330",510,169,20,2549
"331",510,170,20,2249
"332",510,171,20,1578
"333",510,172,20,4162
"334",510,173,20,5648
"335",510,174,20,2908
"336",510,176,20,4316
"337",510,177,20,1254
"338",510,178,20,1734
"339",510,179,20,2009
"340",510,180,20,4623
"341",510,181,20,5903
"342",510,182,20,4149
"343",510,185,20,2237
"344",510,186,20,5887
"345",510,187,20,4169
"346",510,188,20,3602
"347",510,189,20,2726
"348",510,190,20,3923
"349",510,191,20,1658
"350",510,192,20,1064
"351",510,193,20,2679
"352",510,194,20,1790
"353",510,195,20,4240
"354",510,196,20,4945
"355",510,197,20,3993
"356",510,198,20,6145
"357",510,199,20,4248
"358",510,200,20,4918
"359",510,201,20,2444
"362",511,163,20,1064
"363",511,164,20,3621
"364",511,165,20,3530
"365",511,166,20,2608
"366",511,169,20,1705
"367",511,171,20,2597
"368",511,172,20,1682
"369",511,173,20,3774
"370",511,174,20,1467
"371",511,175,20,3844
"372",511,176,20,5186
"373",511,177,20,3849
"374",511,178,20,3372
"375",511,179,20,4929
"376",511,180,20,3645
"377",511,181,20,3416
"378",511,182,20,6382
"379",511,183,20,3213
"380",511,184,20,1084
"381",511,185,20,3031
"382",511,186,20,5177
"383",511,187,20,4335
"384",511,188,20,4186
"385",511,189,20,3420
"386",511,190,20,4104
"387",511,191,20,1290
"388",511,192,20,4351
"389",511,193,20,3647
"390",511,194,20,2773
"391",511,195,20,2553
"392",511,196,20,2832
"393",511,197,20,1866
"394",511,198,20,5067
"395",511,199,20,3874
"396",511,200,20,2930
"397",511,201,20,1329
"398",512,154,20,1496
"399",512,155,20,1012
"402",512,164,20,1408
"403",512,165,20,1130
"404",512,166,20,1286
"405",512,167,20,1221
"406",512,168,20,1333
"407",512,169,20,1310
"408",512,170,20,4146
"409",512,171,20,6250
"410",512,172,20,4644
"411",512,173,20,3544
"412",512,174,20,2371
"413",512,175,20,6815
"414",512,176,20,5920
"415",512,177,20,4706
"416",512,178,20,6149
"417",512,179,20,6147
"418",512,180,20,10632
"419",512,181,20,4090
"420",512,182,20,5142
"421",512,183,20,3819
"422",512,184,20,4084
"423",512,185,20,5038
"424",512,186,20,7020
"425",512,187,20,4745
"426",512,188,20,5334
"427",512,189,20,3079
"428",512,190,20,2532
"429",512,191,20,3054
"430",512,192,20,1859
"431",512,193,20,2266
"432",512,194,20,1525
"433",512,195,20,2677
"434",512,196,20,1037
"435",512,197,20,1901
"436",512,198,20,1265
"437",512,199,20,2213
"438",512,200,20,1032
"440",513,154,20,2759
"441",513,155,20,2014
"443",513,164,20,1219
"444",513,167,20,2290
"445",513,168,20,4824
"446",513,169,20,2637
"447",513,170,20,4436
"448",513,171,20,2712
"449",513,172,20,3022
"450",513,173,20,4969
"451",513,174,20,7042
"452",513,175,20,5113
"453",513,176,20,4502
"454",513,177,20,3201
"455",513,178,20,2405
"456",513,179,20,2031
"457",513,180,20,5142
"458",513,181,20,7607
"459",513,182,20,6343
"460",513,183,20,3732
"461",513,184,20,4311
"462",513,185,20,5981
"463",513,186,20,5885
"464",513,187,20,5654
"465",513,188,20,5567
"466",513,189,20,3713
"467",513,190,20,1527
"468",513,191,20,2691
"469",513,194,20,1379
"470",513,195,20,4123
"478",514,154,20,1589
"479",514,155,20,2045
"480",514,156,20,2247
"481",514,164,20,1295
"482",514,166,20,2018
"483",514,167,20,1564
"484",514,168,20,3231
"485",514,170,20,1749
"486",514,171,20,3408
"487",514,172,20,4850
"488",514,173,20,5619
"489",514,174,20,5829
"490",514,175,20,4988
"491",514,176,20,5433
"492",514,177,20,1176
"493",514,180,20,1525
"494",514,181,20,4066
"495",514,182,20,4247
"496",514,183,20,4187
"497",514,184,20,3448
"498",514,185,20,5107
"499",514,186,20,4275
"500",514,187,20,5386
"501",514,188,20,5973
"502",514,189,20,4326
"503",514,190,20,6342
"504",514,191,20,2477
"505",514,194,20,3614
"506",514,195,20,2288
"516",515,156,20,1521
"517",515,163,20,2411
"518",515,164,20,1176
"519",515,165,20,1562
"520",515,166,20,1932
"521",515,167,20,2335
"522",515,170,20,1518
"523",515,171,20,5823
"524",515,172,20,4414
"525",515,173,20,5093
"526",515,174,20,4461
"527",515,175,20,3018
"528",515,176,20,5092
