"long","lat","cluster_id","add.data"
495,157,18,1296
495,158,18,1419
495,159,18,2151
496,157,18,1692
496,158,18,5269
497,157,18,1881
497,158,18,6009
497,159,18,2130
498,157,18,1363
498,158,18,5435
498,159,18,1737
498,170,18,2277
499,156,18,1005
499,157,18,2884
499,158,18,4641
499,159,18,3672
499,170,18,4222
499,171,18,1911
500,156,18,1843
500,157,18,3818
500,158,18,4808
500,159,18,2933
500,170,18,2432
500,171,18,1662
501,156,18,1106
501,157,18,3308
501,158,18,2459
501,159,18,5790
501,170,18,1208
501,171,18,2746
502,159,18,2966
502,160,18,3349
502,163,18,1796
502,170,18,3362
502,171,18,2979
503,159,18,2198
503,160,18,1915
503,161,18,1556
503,163,18,2050
503,165,18,1470
503,166,18,2593
503,167,18,1436
503,169,18,1114
503,170,18,2605
503,171,18,2663
504,159,18,1253
504,160,18,1621
504,161,18,3191
504,162,18,2974
504,163,18,1836
504,164,18,4414
504,165,18,2356
504,166,18,3467
504,169,18,1375
504,170,18,5040
504,171,18,3244
504,183,18,1261
505,161,18,2145
505,162,18,1682
505,163,18,1169
505,164,18,4250
505,166,18,1279
505,170,18,4006
505,171,18,3111
505,172,18,1724
505,173,18,2455
505,174,18,1857
505,178,18,1416
505,179,18,2644
505,180,18,2229
505,181,18,4134
505,182,18,5846
505,183,18,5594
505,184,18,3621
506,160,18,3120
506,161,18,2528
506,164,18,1476
506,171,18,5355
506,172,18,2829
506,173,18,3899
506,174,18,1234
506,178,18,3105
506,179,18,6326
506,180,18,4944
506,181,18,4921
506,182,18,3670
506,183,18,1770
506,184,18,1884
506,185,18,1652
507,163,18,1375
507,164,18,3395
507,165,18,2555
507,167,18,2358
507,168,18,1272
507,170,18,1861
507,171,18,4734
507,177,18,1259
507,178,18,1030
507,179,18,2371
507,181,18,4178
507,182,18,5542
507,183,18,5030
507,184,18,3903
507,185,18,2502
507,186,18,3228
507,195,18,4269
507,196,18,1916
508,163,18,1557
508,164,18,3755
508,165,18,1700
508,167,18,3364
508,168,18,1078
508,169,18,1304
508,170,18,4564
508,171,18,3154
508,173,18,4033
508,174,18,1910
508,177,18,3490
508,178,18,2226
508,179,18,3982
508,180,18,1810
508,181,18,6591
508,182,18,2833
508,183,18,3192
508,184,18,2445
508,185,18,1603
508,186,18,2789
508,187,18,3076
508,188,18,2529
508,191,18,2773
508,192,18,1641
508,195,18,2614
508,196,18,2348
508,200,18,1479
508,201,18,2661
509,163,18,1041
509,164,18,1852
509,165,18,2230
509,166,18,2316
509,168,18,1333
509,169,18,2679
509,170,18,5787
509,171,18,3117
509,172,18,4943
509,173,18,6520
509,174,18,3027
509,177,18,1112
509,178,18,6021
509,179,18,4611
509,180,18,5502
509,181,18,5787
509,182,18,6121
509,183,18,1517
509,185,18,1012
509,186,18,3871
509,187,18,4003
509,188,18,1530
509,189,18,1565
509,190,18,2225
509,191,18,4133
509,192,18,2238
509,195,18,5307
509,196,18,4157
509,197,18,2502
509,198,18,2732
509,199,18,3563
509,200,18,1487
509,201,18,3612
509,202,18,1446
510,164,18,2653
510,165,18,2990
510,166,18,6049
510,167,18,2453
510,168,18,2080
510,169,18,2846
