"","long","lat","cluster_id","add.data"
"13",9678,4421,3,303
"14",9678,4422,3,389
"15",9678,4423,3,649
"16",9679,4422,3,535
"17",9679,4423,3,711
"18",9680,4421,3,573
"19",9680,4422,3,527
"20",9681,4420,3,417
"21",9681,4421,3,704
"22",9681,4422,3,752
"23",9682,4418,3,376
"24",9682,4419,3,683
"25",9682,4420,3,984
"26",9682,4421,3,660
"30",9683,4418,3,566
"31",9683,4419,3,581
"32",9683,4420,3,621
"33",9683,4421,3,552
"34",9683,4422,3,498
"35",9683,4425,3,323
"36",9684,4417,3,614
"37",9684,4418,3,540
"38",9684,4420,3,674
"39",9684,4421,3,1243
"40",9684,4422,3,490
"41",9684,4423,3,335
"42",9684,4424,3,362
"43",9684,4425,3,313
"44",9685,4418,3,844
"45",9685,4419,3,1672
"46",9685,4420,3,3318
"47",9685,4421,3,2373
"48",9685,4422,3,3175
"49",9685,4423,3,1861
"50",9685,4424,3,4363
"51",9685,4425,3,1154
"52",9686,4417,3,346
"53",9686,4419,3,2605
"54",9686,4420,3,3074
"55",9686,4421,3,2940
"56",9686,4422,3,6039
"57",9686,4423,3,1544
"58",9686,4424,3,2883
"59",9686,4425,3,3074
"60",9687,4417,3,500
"61",9687,4418,3,359
"62",9687,4419,3,848
"63",9687,4420,3,2700
"64",9687,4421,3,5861
"65",9687,4422,3,5400
"66",9687,4423,3,6105
"67",9687,4424,3,1647
"68",9687,4425,3,649
"69",9688,4417,3,475
"70",9688,4418,3,1017
"71",9688,4419,3,1879
"72",9688,4420,3,4694
"73",9688,4421,3,9167
"74",9688,4422,3,9447
"75",9688,4423,3,8015
"76",9688,4424,3,9472
"77",9688,4425,3,1134
"78",9688,4426,3,1714
"79",9688,4427,3,484
"80",9688,4428,3,387
"81",9689,4419,3,1169
"82",9689,4420,3,3270
"83",9689,4421,3,8801
"84",9689,4422,3,13582
"85",9689,4423,3,3805
"86",9689,4424,3,2705
"87",9689,4425,3,477
"88",9689,4426,3,939
"89",9689,4427,3,483
"90",9690,4420,3,1681
"91",9690,4421,3,3851
"92",9690,4422,3,7196
"93",9690,4423,3,7678
"94",9690,4426,3,577
"95",9690,4427,3,566
"96",9691,4421,3,3131
"97",9691,4422,3,2661
"98",9691,4423,3,637
"99",9691,4427,3,536
"100",9691,4428,3,566
"101",9692,4420,3,307
"102",9692,4421,3,659
"103",9692,4422,3,747
"104",9692,4427,3,447
"105",9692,4428,3,691
"106",9692,4429,3,315
"107",9693,4420,3,322
"108",9693,4421,3,897
"109",9693,4422,3,610
"110",9694,4420,3,362
"111",9694,4421,3,504
