,lon,lat,Year,geometry,lon_m,lat_m
910GSEVNSIS,-0.073306,51.582931,1872.0,POINT (-0.073306 51.582931),533587.3853636321,188877.26981501514
910GSGFORD,-0.336704,51.533749,1903.0,POINT (-0.336704 51.533749),515463.4645781866,182959.99129819236
910GSHADWEL,-0.056782,51.511492,1876.0,POINT (-0.056782 51.511492),534943.1216126232,180963.41363522614
910GSHENFLD,0.329851,51.630877,1843.0,POINT (0.329851 51.630877),561347.1032769498,195021.7935048727
910GSHEPRTN,-0.446786,51.396805,1864.0,POINT (-0.446786 51.396805),508151.5899327111,167563.28580713389
910GSHLIER,-0.198771,51.389901,1999.0,POINT (-0.198771 51.389901),525423.2626810054,167190.2840305927
910GSHMPSTD,-0.178878,51.541432,1879.0,POINT (-0.178878 51.541432),526388.2461866654,184074.89443814493
910GSHPDSB,-0.219213,51.504791,2008.0,POINT (-0.219213 51.504791),523690.50827366376,179931.47477298015
910GSHRDHST,-0.075246,51.523375,2010.0,POINT (-0.07524599999999999 51.523375),533627.1840670862,182250.94294343155
910GSHRMKT,0.18889,51.332219,1862.0,POINT (0.18889 51.332219),552585.1099689489,161510.31450884367
910GSHRTLND,0.001784,51.405801,1858.0,POINT (0.001784 51.405801),539328.1849426876,169320.23914153135
910GSIDCUP,0.103795,51.43387,1866.0,POINT (0.103795 51.43387),546333.2090533432,172640.1226729643
910GSIVRST,-0.06724,51.614688,1872.0,POINT (-0.06723999999999999 51.614688),533914.2822993405,192419.87752057292
910GSKENTON,-0.308448,51.570229,1933.0,POINT (-0.308448 51.570229),517329.40977077535,187061.6207489958
910GSLADEGN,0.190491,51.467786,1866.0,POINT (0.190491 51.467786),552246.1153260686,176588.0849729529
910GSLOUGH,-0.59151,51.51188,1838.0,POINT (-0.59151 51.51188),497837.82478102035,180156.94763891707
910GSMERTON,-0.205157,51.402993,1930.0,POINT (-0.205157 51.402993),524943.3316587552,168635.23942039424
910GSNDP,0.021446,51.413782,1878.0,POINT (0.021446 51.413782),540671.1686629623,170245.23035096197
910GSRUISLP,-0.399076,51.556893,1908.0,POINT (-0.399076 51.556893),511081.32988691056,185437.2688089526
910GSTAINES,-0.503164,51.432455,1848.0,POINT (-0.5031639999999999 51.432455),504148.67045234574,171446.1409272396
910GSTALBCY,-0.327538,51.750473,1868.0,POINT (-0.327538 51.750473),515547.42215641716,207075.5063045277
910GSTALBNA,-0.342569,51.744733,1858.0,POINT (-0.342569 51.744733),514524.40961999225,206413.47825285542
910GSTCR,0.263771,51.45133,1908.0,POINT (0.263771 51.45133),557392.0332898493,174913.12585880182
910GSTEVNGE,-0.207109,51.901688,1973.0,POINT (-0.207109 51.901688),523446.437903377,224089.42907761666
910GSTFODOM,-0.008778,51.544828,2009.0,POINT (-0.008777999999999999 51.544828),538173.0628447267,184759.92048162286
910GSTHALL,-0.37861,51.505957,1839.0,POINT (-0.37861 51.505957),512625.5644965754,179804.12916295906
910GSTJMSST,-0.032918,51.580981,1999.0,POINT (-0.032918 51.580981),536391.1925395308,188734.94564616826
910GSTJOHNS,-0.022719,51.469391,1999.0,POINT (-0.022719 51.469391),537433.198969699,176345.1497127922
910GSTKNWNG,-0.072887,51.565233,1872.0,POINT (-0.07288699999999999 51.565233),533668.2370451475,186909.97402150655
910GSTLEIGH,-0.248665,51.363401,1932.0,POINT (-0.248665 51.363401),522022.3158800667,164159.34419959877
910GSTMFDHL,-0.076682,51.574467,1872.0,POINT (-0.076682 51.574467),533378.2353403416,187929.88167234074
910GSTMGTS,-0.3202,51.455236,1999.0,POINT (-0.3202 51.455236),516808.48606377945,174255.20207288064
910GSTMRYC,0.106384,51.394749,1858.0,POINT (0.106384 51.394749),546638.2031624737,168295.10317211144
910GSTNBGPK,-0.275859,51.544041,1912.0,POINT (-0.275859 51.544041),519656.4473242026,184202.12896108726
910GSTOTNHM,-0.072103,51.580372,1871.0,POINT (-0.072103 51.580372),533678.2273640985,188594.90084131475
910GSTRETHM,-0.13155,51.425808,1856.0,POINT (-0.13155 51.425808),529998.2220740465,171300.13821682386
910GSTRHCOM,-0.13601,51.41873,1862.0,POINT (-0.13601 51.41873),529708.1838183778,170505.16440938524
910GSTRHILL,-0.12716,51.438193,1856.0,POINT (-0.12716 51.438193),530268.2149418864,172685.15054153575
910GSTRWBYH,-0.339358,51.438963,1873.0,POINT (-0.339358 51.438963),515518.5413675127,172415.18841718097
910GSUNBURY,-0.417783,51.418313,1864.0,POINT (-0.417783 51.418313),510117.50693941914,169998.10138479923
910GSUNNGDL,-0.633041,51.39194,1856.0,POINT (-0.633041 51.39194),495204.7346278416,166764.0989216708
910GSUNYMDS,-0.559374,51.470288,1927.0,POINT (-0.559374 51.470288),500158.7765887255,175575.02089331212
910GSURBITN,-0.303958,51.39246,1838.0,POINT (-0.303958 51.39246),518098.4684868727,167300.29853708815
910GSURREYQ,-0.047519,51.493196,1884.0,POINT (-0.047519 51.493196),535640.1612118846,178945.99938728416
910GSUTTON,-0.191215,51.359533,1999.0,POINT (-0.191215 51.359533),526032.2402619899,163826.27123069606
910GSUTTONC,-0.196343,51.374891,1930.0,POINT (-0.196343 51.374891),525633.2327098809,165525.30341041955
910GSVNKNGS,0.0971,51.564026,1899.0,POINT (0.09710000000000001 51.564026),545453.1537618567,187100.0046668825
910GSVNOAKS,0.181669,51.276865,1868.0,POINT (0.181669 51.276865),552265.0888155785,155340.23334158678
910GSWLY,0.169225,51.393387,1862.0,POINT (0.169225 51.393387),551014.1620278883,168271.18242470734
910GSWNSCMB,0.309543,51.449071,1908.0,POINT (0.309543 51.449071),560579.981491759,174761.21759931772
910GSYDENHM,-0.055268,51.427375,1839.0,POINT (-0.055268 51.427375),535296.6369343963,171612.44813265657
910GSYDNHMH,-0.080339,51.432714,1862.0,POINT (-0.08033899999999999 51.432714),533538.2419398503,172160.15567976958
910GSYONLA,-0.324842,51.481785,1925.0,POINT (-0.324842 51.481785),516418.48549611587,177200.1507578708
910GTDITTON,-0.339152,51.389097,1849.0,POINT (-0.339152 51.389097),515658.4734518157,166870.27275840857
910GTEDNGTN,-0.332706,51.424481,1864.0,POINT (-0.332706 51.424481),516017.5068352139,170815.21142211772
910GTHBLDSG,-0.034831,51.692457,1891.0,POINT (-0.034831 51.692457),535925.2207215268,201127.86903206405
910GTHTH,-0.100306,51.398777,1862.0,POINT (-0.100306 51.398777),532248.2083908066,168350.12816442206
910GTLBYTWN,0.354039,51.462359,1885.0,POINT (0.354039 51.462359),563623.9573698314,176337.05776252341
910GTOLWTH,-0.279461,51.37686,1938.0,POINT (-0.279461 51.37686),519843.40419800585,165605.27806310303
910GTOOTING,-0.161278,51.419848,1868.0,POINT (-0.161278 51.419848),527948.2120657023,170585.1486678226
910GTTNHMHL,-0.06024,51.588315,1840.0,POINT (-0.06024 51.588315),534476.7161253644,189499.94955371192
910GTULSEH,-0.105077,51.439861,1868.0,POINT (-0.105077 51.439861),531798.1908268813,172910.11538885027
910GTURKYST,-0.047217,51.672628,1891.0,POINT (-0.047217 51.672628),535128.154809389,198899.8500088303
910GTWCKNHM,-0.330394,51.450031,1848.0,POINT (-0.330394 51.450031),516113.46497752226,173660.18283640913
910GUHALIFD,-0.430906,51.413067,1944.0,POINT (-0.430906 51.413067),509217.5362236652,169395.14623718453
910GUPMNSTR,0.250855,51.558659,1885.0,POINT (0.250855 51.558659),556127.6270315446,186819.9442075098
910GUPRHLWY,-0.129513,51.563631,1868.0,POINT (-0.129513 51.563631),529748.2099521578,186629.82250317314
910GUWRLNGH,-0.081148,51.309958,1999.0,POINT (-0.081148 51.309958),533839.1290803408,158508.28065972298
910GVAUXHLM,-0.123303,51.485739,1999.0,POINT (-0.123303 51.485739),530400.8448468214,177979.16168845928
910GVICTRIC,-0.143826,51.495812,1999.0,POINT (-0.143826 51.495812),528947.5892942005,179062.97071246285
910GVRGNWTR,-0.562174,51.401802,1856.0,POINT (-0.562174 51.401802),500113.665737352,167955.18143818586
910GWADDON,-0.117336,51.367398,1847.0,POINT (-0.117336 51.367398),531153.2310820472,164830.2108369253
910GWALHAMX,-0.026558,51.685061,1842.0,POINT (-0.026558 51.685061),536519.2209978118,200320.84612378996
910GWALNGTN,-0.150833,51.360386,1847.0,POINT (-0.150833 51.360386),528841.24200164,163991.20143896592
910GWANDCMN,-0.163386,51.446185,1895.0,POINT (-0.163386 51.446185),527728.2448526178,173510.12984841247
910GWAPPING,-0.055931,51.504388,1869.0,POINT (-0.055931 51.504388),535023.1664269324,180175.00812994334
910GWATFDHS,-0.391711,51.652655,1862.0,POINT (-0.391711 51.652655),511357.42451229563,196097.6127089553
910GWATFDJ,-0.395928,51.663908,1858.0,POINT (-0.395928 51.663908),511038.2198606923,197342.60780056147
910GWATFDN,-0.389926,51.675704,1910.0,POINT (-0.389926 51.675704),511424.3708179554,198663.56998476427
910GWATRLMN,-0.113356,51.504269,1999.0,POINT (-0.113356 51.504269),531038.3134243167,180057.46046046808
910GWBRMPTN,-0.195593,51.487168,1866.0,POINT (-0.195593 51.487168),525378.0329409948,178011.90705448342
910GWBYFLET,-0.505485,51.339226,1887.0,POINT (-0.505485 51.339226),504198.5828205106,161075.38451313903
910GWCHAPEL,-0.059858,51.519498,1876.0,POINT (-0.059858 51.519498),534706.070483645,181848.0292760337
910GWCOMBEP,0.018395,51.484203,1879.0,POINT (0.018395 51.484203),540243.2352947725,178070.11634268926
910GWCROYDN,-0.101939,51.378786,1839.0,POINT (-0.101939 51.378786),532192.2032826191,166124.17599998938
910GWDGRNPK,0.044423,51.549264,1894.0,POINT (0.044423 51.549264),541848.1270327906,185355.04519169265
910GWDMNSTR,-0.154262,51.31902,1904.0,POINT (-0.154262 51.31902),528718.2157602281,159385.3667848713
910GWDRYTON,-0.472234,51.510055,1838.0,POINT (-0.472234 51.510055),506118.6066367853,180120.01383394783
910GWDST,-0.002405,51.58658,1873.0,POINT (-0.002405 51.58658),538488.1648810325,189414.91500701947
910GWDULWCH,-0.091371,51.440718,1862.0,POINT (-0.09137099999999999 51.440718),532748.240765703,173030.1501591698
910GWDWTOWN,-0.188125,51.461048,1846.0,POINT (-0.188125 51.461048),525968.3365718586,175120.1161538586
910GWEALING,-0.320133,51.513506,1871.0,POINT (-0.320133 51.513506),516664.4699527297,180735.1246229008
910GWELHAMG,-0.210692,51.736352,1986.0,POINT (-0.210692 51.736352),523651.44068703044,205696.61991788878
910GWELLING,0.10169,51.464798,1895.0,POINT (0.10169 51.464798),546088.1543224255,176075.05827852967
910GWEMBLSM,-0.285608,51.554416,1906.0,POINT (-0.285608 51.554416),518953.4117461899,185339.98921016697
910GWEYBDGB,-0.457739,51.361771,1838.0,POINT (-0.457739 51.361771),507471.5825756214,163651.26524300285
910GWHHRTLA,-0.070914,51.605037,1872.0,POINT (-0.070914 51.605037),533688.2479978446,191339.9267498015
910GWHTTON,-0.357681,51.449607,1930.0,POINT (-0.357681 51.449607),514218.5457059662,173570.1469554134
910GWHYTELF,-0.081148,51.309958,1900.0,POINT (-0.081148 51.309958),533839.1290803408,158508.28065972298
910GWHYTLFS,-0.076918,51.303387,1856.0,POINT (-0.076918 51.303387),534153.055118252,157785.31230574055
910GWIMLCHS,-0.214031,51.409558,1930.0,POINT (-0.214031 51.409558),524308.3332972815,169350.19951242732
910GWINDSEC,-0.61038,51.483268,1849.0,POINT (-0.61038 51.483268),496588.84529835056,176950.00033512997
910GWLDNGHM,-0.05187,51.290158,1885.0,POINT (-0.05187 51.290158),535938.1130158696,156360.3012400547
910GWLOE,-0.108898,51.504076,1999.0,POINT (-0.108898 51.504076),531348.2480948692,180043.98208943906
910GWLSDJHL,-0.243006,51.532556,1866.0,POINT (-0.243006 51.532556),521965.13260701054,182979.1261161841
910GWLTHQRD,-0.023846,51.581503,1999.0,POINT (-0.023846 51.581503),537018.126518697,188809.93905157014
910GWLTWCEN,-0.019842,51.582948,1869.0,POINT (-0.019842 51.582948),537291.1699015379,188978.13356860034
910GWMBY,-0.296642,51.55232,1842.0,POINT (-0.296642 51.55232),518193.90930449235,185089.05029968737
910GWNDSWRD,-0.13852,51.470216,1863.0,POINT (-0.13852 51.470216),529388.2302462584,176226.00628692686
910GWNMHILL,-0.1009,51.633942,1871.0,POINT (-0.1009 51.633942),531528.2278384096,194499.8560046389
910GWNORWOD,-0.10383,51.431748,1856.0,POINT (-0.10383 51.431748),531908.2017818225,172010.19729244115
910GWNSTDPK,0.026213,51.551693,1894.0,POINT (0.026213 51.551693),540578.1268369057,185589.98286469502
910GWOKING,-0.55696,51.318469,1838.0,POINT (-0.55696 51.318469),500658.6210241582,158695.27000028323
910GWOLWCDY,0.054642,51.491127,1849.0,POINT (0.054642 51.491127),542738.1611505457,178910.08547608758
910GWOLWCHA,0.06917,51.489962,1849.0,POINT (0.06917 51.489962),543750.3102330344,178808.95061865018
910GWONT,-0.414635,51.372931,1838.0,POINT (-0.414635 51.372931),510445.5413140761,164956.27831789618
910GWRCSTRP,-0.245167,51.381253,1859.0,POINT (-0.245167 51.381253),522218.3560809953,166150.33120812417
910GWRPLSDN,-0.582578,51.289017,1883.0,POINT (-0.582578 51.289017),498936.64370352007,155385.40987634705
910GWRUISLP,-0.437816,51.569721,1906.0,POINT (-0.437816 51.569721),508365.3040636921,186805.72433599713
910GWRYSBRY,-0.541922,51.457708,1861.0,POINT (-0.541922 51.457708),501398.70210419246,174200.0646203219
910GWSORAER,-0.61038,51.483268,1849.0,POINT (-0.61038 51.483268),496588.84529835056,176950.00033512997
910GWSUTTON,-0.205173,51.365854,1930.0,POINT (-0.205173 51.365854),525043.2841194224,164505.29271427618
910GWWICKHM,-0.014432,51.381301,1882.0,POINT (-0.014432 51.381301),538274.1219157383,166565.1245237937
940GZZDLABR,0.003737,51.531926,2011.0,POINT (0.003737 51.531926),539080.1218392228,183348.9031230897
940GZZDLALL,-0.013135,51.511,1987.0,POINT (-0.013135 51.511),537973.1456069048,180990.02925925766
940GZZDLBEC,0.061453,51.514362,1994.0,POINT (0.061453 51.514362),543138.1511037207,181507.09052069747
940GZZDLBLA,-0.006969,51.507991,1994.0,POINT (-0.006969 51.507991),538410.1125663584,180667.07656677725
940GZZDLBNK,-0.089095,51.513395,1999.0,POINT (-0.08909499999999999 51.513395),532695.4863870118,181115.95366854803
940GZZDLBOW,-0.020936,51.527858,1987.0,POINT (-0.020936 51.527858),537381.1202625977,182849.96553849557
940GZZDLBPK,0.054932,51.508793,1994.0,POINT (0.054932 51.508793),542703.0972033904,180875.0988584659
940GZZDLCAN,-0.019121,51.503734,1999.0,POINT (-0.019121 51.503734),537579.6739550158,180170.80532556103
940GZZDLCGT,0.008025,51.514029,1999.0,POINT (0.008024999999999999 51.514029),539432.152563845,181366.9356747524
940GZZDLCLA,-0.014606,51.495728,1987.0,POINT (-0.014606 51.495728),537917.1796374919,179289.04595090036
940GZZDLCUS,0.026699,51.509716,1999.0,POINT (0.026699 51.509716),540741.1209282688,180923.0900797174
940GZZDLCUT,-0.010802,51.481675,1999.0,POINT (-0.010802 51.481675),538223.722473801,177733.53466329532
940GZZDLCYP,0.063925,51.508473,1994.0,POINT (0.063925 51.508473),543328.1397882599,180857.07359718997
940GZZDLDEP,-0.022438,51.474215,1999.0,POINT (-0.022438 51.474215),537438.2160751083,176882.10004049836
940GZZDLDEV,-0.017615,51.522667,1987.0,POINT (-0.017615 51.522667),537627.1181180663,182278.9535406619
940GZZDLEIN,-0.002326,51.509359,1994.0,POINT (-0.002326 51.509359),538728.1462306341,180827.9812241196
940GZZDLELV,-0.016728,51.469074,1999.0,POINT (-0.016728 51.469074),537850.2418291359,176321.15466757555
940GZZDLGAL,0.071555,51.508941,1994.0,POINT (0.07155499999999999 51.508941),543856.1265364073,180924.07243387448
940GZZDLGRE,-0.014096,51.478235,1999.0,POINT (-0.014096 51.478235),538005.3909064555,177344.8014548163
940GZZDLHEQ,-0.021421,51.503379,1987.0,POINT (-0.021421 51.503379),537421.1243807389,180127.010242999
940GZZDLISL,-0.010139,51.487811,1987.0,POINT (-0.010139 51.487811),538251.195727946,178417.1031810784
940GZZDLKGV,0.062624,51.502003,2005.0,POINT (0.062624 51.502003),543258.1490450022,180135.07310196164
940GZZDLLCA,0.048749,51.503419,1999.0,POINT (0.048749 51.503419),542290.7921902917,180265.48452159163
940GZZDLLDP,-0.01415,51.515172,2007.0,POINT (-0.01415 51.515172),537890.1175281128,181452.03107722092
940GZZDLLEW,-0.013016,51.465081,1999.0,POINT (-0.013016 51.465081),538120.1033964987,175884.12285485235
940GZZDLLIM,-0.039799,51.512469,1999.0,POINT (-0.039799 51.512469),536118.610525101,181103.48692021746
940GZZDLMUD,-0.014738,51.490704,1987.0,POINT (-0.014738 51.490704),537923.1803713418,178730.133790734
940GZZDLPDK,0.032115,51.502212,2005.0,POINT (0.032115 51.502212),541140.1370330538,180099.0747083224
940GZZDLPOP,-0.017384,51.507744,1987.0,POINT (-0.017384 51.507744),537688.1317521769,180619.97237245936
940GZZDLPRE,0.034158,51.509263,1994.0,POINT (0.034158 51.509263),541260.1039299016,180887.0850528304
940GZZDLPUD,-0.012755,51.534302,1996.0,POINT (-0.012755 51.534302),537929.1082634846,183581.91905767692
940GZZDLRAL,0.045935,51.508357,1994.0,POINT (0.045935 51.508357),542080.137704102,180809.12459859223
940GZZDLRVC,0.018505,51.50934,1999.0,POINT (0.018505 51.50934),540173.6894934752,180865.5550193173
940GZZDLSHA,-0.056782,51.511492,1999.0,POINT (-0.056782 51.511492),534943.1216126232,180963.41363522614
940GZZDLSHS,-0.001078,51.538196,2011.0,POINT (-0.001078 51.538196),538727.1137148929,184036.99252526095
940GZZDLSIT,-0.009638,51.545265,2011.0,POINT (-0.009638000000000001 51.545265),538112.1103455062,184806.89284313406
940GZZDLSOQ,-0.015975,51.50005,1987.0,POINT (-0.015975 51.50005),537809.1176840327,179767.070417505
940GZZDLSTL,0.004156,51.520786,2011.0,POINT (0.004156 51.520786),539143.1159120727,182110.93206063536
940GZZDLTWG,-0.074813,51.510621,1999.0,POINT (-0.074813 51.510621),533694.552218077,180833.4714045716
940GZZDLWFE,-0.02675,51.509431,1987.0,POINT (-0.02675 51.509431),537033.1374318881,180789.99520771322
940GZZDLWIQ,-0.020311,51.50703,1987.0,POINT (-0.020311 51.50703),537487.168092078,180535.0773129941
940GZZDLWLA,0.06917,51.489962,1999.0,POINT (0.06917 51.489962),543750.3102330344,178808.95061865018
940GZZDLWSV,0.02246,51.502838,2005.0,POINT (0.02246 51.502838),540468.1363551026,180150.1208740172
940GZZLUACT,-0.280462,51.503057,1879.0,POINT (-0.280462 51.503057),519444.42006338504,179637.05078597483
940GZZLUACY,-0.134819,51.565478,1907.0,POINT (-0.134819 51.565478),529375.2174576548,186825.8224599255
940GZZLUADE,-0.072384,51.515037,1884.0,POINT (-0.072384 51.515037),533850.1557393251,181328.97673423734
940GZZLUAGL,-0.105992,51.532796,1901.0,POINT (-0.105992 51.532796),531467.224707171,183242.8794970077
940GZZLUALD,-0.075689,51.514246,1876.0,POINT (-0.07568900000000001 51.514246),533623.1633834703,181234.97611045028
940GZZLUALP,-0.29961,51.540627,1903.0,POINT (-0.29961 51.540627),518018.3719116747,183783.95901390223
940GZZLUAMS,-0.60759,51.674207,1892.0,POINT (-0.60759 51.674207),496377.88870678353,198187.8516554286
940GZZLUASG,-0.133062,51.616446,1932.0,POINT (-0.133062 51.616446),529352.2842167561,192496.8188112005
940GZZLUASL,-0.107457,51.558655,1906.0,POINT (-0.107457 51.558655),531291.2073660144,186115.82980559353
940GZZLUBBB,-0.011538,51.524839,1902.0,POINT (-0.011538 51.524839),538042.1152321096,182531.91526252398
940GZZLUBBN,-0.097993,51.520275,1865.0,POINT (-0.097993 51.520275),532058.207949698,181864.92693374614
940GZZLUBDS,-0.124235,51.607034,1932.0,POINT (-0.124235 51.607034),529990.2507881889,191465.8065660316
940GZZLUBEC,0.127016,51.540331,1932.0,POINT (0.127016 51.540331),547603.1178635501,184525.00413071952
940GZZLUBKE,0.088585,51.585689,1948.0,POINT (0.088585 51.585689),544794.1937274236,189492.04575489525
940GZZLUBKF,-0.104166,51.509613,1870.0,POINT (-0.104166 51.509613),531660.6880877072,180668.1932742977
940GZZLUBKG,0.080988,51.539413,1902.0,POINT (0.080988 51.539413),544414.3233695058,184331.10384183616
940GZZLUBKH,0.046757,51.626605,1948.0,POINT (0.046757 51.626605),541769.1760352654,193959.99836145673
940GZZLUBLG,-0.055506,51.527222,1946.0,POINT (-0.055506 51.527222),534985.1501857858,182714.97976141341
940GZZLUBLM,-0.152707,51.443259,1926.0,POINT (-0.152707 51.443259),528478.4966895276,173203.40613166708
940GZZLUBLR,-0.041185,51.586768,1968.0,POINT (-0.041185 51.586768),535801.2443375982,189363.11793394783
940GZZLUBMY,-0.063993,51.49775,1999.0,POINT (-0.06399299999999999 51.49775),534483.2148370603,179422.02097643085
940GZZLUBND,-0.149723,51.514304,1900.0,POINT (-0.149723 51.514304),528486.2569013522,181108.94271998433
940GZZLUBNK,-0.089095,51.513395,1898.0,POINT (-0.08909499999999999 51.513395),532695.4863870118,181115.95366854803
940GZZLUBOR,-0.09337,51.501199,1890.0,POINT (-0.09336999999999999 51.501199),532434.2132688982,179752.01328954578
940GZZLUBOS,-0.324939,51.495635,1883.0,POINT (-0.324939 51.495635),516376.5062308664,178740.15385478694
940GZZLUBSC,-0.213427,51.490311,1905.0,POINT (-0.213427 51.490311),524131.36900359066,178331.05488554388
940GZZLUBST,-0.15713,51.522883,1863.0,POINT (-0.15713 51.522883),527948.2933379345,182049.97471368307
940GZZLUBTK,-0.264048,51.602774,1924.0,POINT (-0.264048 51.602774),520320.32783432625,190752.8763736448
940GZZLUBTX,-0.213622,51.57665,1923.0,POINT (-0.213622 51.57665),523883.3067671228,187931.82662709028
940GZZLUBWR,-0.025128,51.52694,1902.0,POINT (-0.025128 51.52694),537093.1102102305,182740.0321571303
940GZZLUBWT,-0.187938,51.512284,1868.0,POINT (-0.187938 51.512284),525840.3140957397,180817.97597178968
940GZZLUBXN,-0.114531,51.462961,1971.0,POINT (-0.114531 51.462961),531075.045427767,175461.86980027548
940GZZLUBZP,-0.164783,51.550529,1907.0,POINT (-0.164783 51.550529),527340.2443760952,185110.92073342256
940GZZLUCAL,-0.560519,51.668109,1889.0,POINT (-0.560519 51.668109),499645.9869048814,197572.78380658693
940GZZLUCAR,-0.118493,51.548519,1906.0,POINT (-0.118493 51.548519),530555.2265582511,184968.9229882764
940GZZLUCFM,-0.153388,51.544118,1907.0,POINT (-0.153388 51.544118),528148.2512720173,184417.8824677152
940GZZLUCGN,-0.124436,51.513093,1907.0,POINT (-0.124436 51.513093),530244.2160865054,181018.9365236945
940GZZLUCGT,0.008025,51.514029,1999.0,POINT (0.008024999999999999 51.514029),539432.152563845,181366.9356747524
940GZZLUCHL,-0.111583,51.518247,1900.0,POINT (-0.111583 51.518247),531121.2317023299,181614.99444401695
940GZZLUCHX,-0.126137,51.507819,1906.0,POINT (-0.126137 51.507819),530141.2146462606,180429.4399974448
940GZZLUCKS,-0.149171,51.65152,1933.0,POINT (-0.149171 51.65152),528138.2223174472,196368.86708652112
940GZZLUCND,-0.249919,51.595424,1924.0,POINT (-0.249919 51.595424),521318.2850392021,189958.79418224707
940GZZLUCPC,-0.138317,51.461742,1900.0,POINT (-0.138317 51.461742),529426.2658175074,175284.04161286302
940GZZLUCPK,-0.294693,51.607701,1932.0,POINT (-0.294693 51.607701),518185.3794752561,191250.87521590345
940GZZLUCPN,-0.130016,51.465135,1900.0,POINT (-0.130016 51.465135),529993.2563813103,175676.03849916597
940GZZLUCPS,-0.147582,51.452654,1926.0,POINT (-0.147582 51.452654),528808.2299604083,174257.12647279585
940GZZLUCSD,-0.178086,51.41816,1926.0,POINT (-0.178086 51.41816),526784.271385141,170368.2683683696
940GZZLUCSM,-0.611247,51.705208,1889.0,POINT (-0.611247 51.705208),496059.39203104324,201630.62644113245
940GZZLUCST,-0.090357,51.511451,1884.0,POINT (-0.09035700000000001 51.511451),532613.5664205077,180897.49290486157
940GZZLUCTN,-0.14274,51.539292,1907.0,POINT (-0.14274 51.539292),528900.1998188596,183899.9118300897
940GZZLUCWL,0.075041,51.617916,1948.0,POINT (0.075041 51.617916),543754.1890936453,193048.97721078992
940GZZLUCWP,-0.267972,51.494627,1879.0,POINT (-0.267972 51.494627),520333.44074530073,178720.03971256292
940GZZLUCWR,-0.049667,51.498053,1999.0,POINT (-0.049667 51.498053),535476.6580266958,179482.1205537754
940GZZLUCXY,-0.441718,51.647044,1925.0,POINT (-0.441718 51.647044),507911.5240218025,195398.67498218146
940GZZLUCYD,-0.518312,51.654249,1889.0,POINT (-0.518312 51.654249),502596.06843156926,196089.80661160272
940GZZLUCYF,-0.019121,51.503734,1999.0,POINT (-0.019121 51.503734),537579.6739550158,180170.80532556103
940GZZLUDBN,0.083782,51.645386,1949.0,POINT (0.083782 51.645386),544272.1633507413,196120.86250130215
940GZZLUDGE,0.166017,51.544096,1902.0,POINT (0.166017 51.544096),550295.1078785463,185022.9872130861
940GZZLUDGY,0.147527,51.541639,1932.0,POINT (0.147527 51.541639),549021.1128431527,184711.98660547734
940GZZLUDOH,-0.239068,51.551955,1909.0,POINT (-0.239068 51.551955),522186.29693181114,185142.91254564206
940GZZLUEAC,-0.099185,51.494505,1890.0,POINT (-0.099185 51.494505),532049.9702882831,178997.14237586968
940GZZLUEAE,-0.397373,51.576506,1906.0,POINT (-0.397373 51.576506),511151.57032765384,187620.8951395288
940GZZLUEAN,-0.247248,51.516612,1920.0,POINT (-0.247248 51.516612),521713.4188216418,181199.0572751799
940GZZLUEBY,-0.302131,51.514993,1879.0,POINT (-0.302131 51.514993),517909.73644642753,180929.28868082823
940GZZLUECM,-0.288265,51.51014,1879.0,POINT (-0.288265 51.51014),518884.4469767016,180412.01619154838
940GZZLUECT,-0.193378,51.492063,1871.0,POINT (-0.193378 51.492063),525518.3768068524,178560.03338205017
940GZZLUEFY,-0.165012,51.587131,1939.0,POINT (-0.165012 51.587131),527222.2464206964,189180.81697616976
940GZZLUEGW,-0.274928,51.613653,1924.0,POINT (-0.274928 51.613653),519538.38601149566,191944.88841504126
940GZZLUEHM,0.051186,51.538948,1902.0,POINT (0.051186 51.538948),542349.1680767434,184221.0406063348
940GZZLUEMB,-0.122666,51.507058,1870.0,POINT (-0.122666 51.507058),530384.2510762083,180350.98812432983
940GZZLUEPG,0.113767,51.69368,1949.0,POINT (0.113767 51.69368),546191.184835831,201550.65039392683
940GZZLUEPK,0.19864,51.549775,1935.0,POINT (0.19864 51.549775),552538.0991533081,185721.9471863354
940GZZLUEPY,-0.211,51.459205,1889.0,POINT (-0.211 51.459205),524384.3402677142,174876.13341767777
940GZZLUERB,-0.17015,51.520299,1999.0,POINT (-0.17015 51.520299),527052.2736250401,181739.96472836437
940GZZLUERC,-0.167832,51.519858,1863.0,POINT (-0.167832 51.519858),527214.3129855224,181694.948134468
940GZZLUESQ,-0.135829,51.525604,1863.0,POINT (-0.135829 51.525604),529418.2479691992,182389.97745030822
940GZZLUEUS,-0.132754,51.527365,1907.0,POINT (-0.132754 51.527365),529626.5510425861,182591.24030030292
940GZZLUFBY,-0.195422,51.480081,1880.0,POINT (-0.195422 51.480081),525409.322436932,177224.1086961283
940GZZLUFCN,-0.105054,51.520214,1863.0,POINT (-0.105054 51.520214),531568.5316784931,181845.4329008223
940GZZLUFLP,0.091004,51.595618,1948.0,POINT (0.091004 51.595618),544930.173630516,190600.9340761585
940GZZLUFPK,-0.105876,51.564778,1906.0,POINT (-0.105876 51.564778),531383.1771533717,186799.5652359604
940GZZLUFYC,-0.192527,51.600921,1940.0,POINT (-0.192527 51.600921),525278.232066794,190666.80983860738
