,lon,lat,Year,geometry,lon_m,lat_m
910GFNPK,-0.105876,51.564778,1861.0,POINT (-0.105876 51.564778),531383.1771533717,186799.5652359604
910GFORESTH,-0.053157,51.43928,1839.0,POINT (-0.053157 51.43928),535408.2147129697,172940.16878519888
910GFRBRMN,-0.755436,51.296692,1838.0,POINT (-0.755436 51.296692),486868.79860072624,156020.19936078764
910GFRNDNLT,-0.105054,51.520214,1988.0,POINT (-0.105054 51.520214),531568.5316784931,181845.4329008223
910GFRNNGRD,0.235452,51.401666,1860.0,POINT (0.235452 51.401666),555593.0618206005,169330.20459166198
910GFRSTGT,0.024353,51.549432,1839.0,POINT (0.024353 51.549432),540456.1354741309,185334.98337158386
910GFULWELL,-0.349468,51.433935,1864.0,POINT (-0.349468 51.433935),514828.485924948,171840.15554177534
910GGERRDSX,-0.555275,51.589023,1906.0,POINT (-0.555275 51.589023),500182.65665395005,188784.894826753
910GGFORD,-0.345789,51.542657,1904.0,POINT (-0.345789 51.542657),514810.97419599496,183936.32851881953
910GGIDEAPK,0.205964,51.581904,1910.0,POINT (0.205964 51.581904),552938.1621452565,189309.9108215549
910GGIPSYH,-0.083836,51.424453,1856.0,POINT (-0.08383599999999999 51.424453),533319.1937006891,171235.174362553
910GGNHT,0.28029,51.450372,1849.0,POINT (0.28029 51.450372),558543.0663595356,174842.2292180421
910GGNRSBRY,-0.275276,51.491745,1869.0,POINT (-0.275276 51.491745),519833.987830338,178387.58813701017
910GGNWH,-0.014096,51.478235,1836.0,POINT (-0.014096 51.478235),538005.3909064555,177344.8014548163
910GGODMAYS,0.110807,51.565579,1901.0,POINT (0.110807 51.565579),546398.1574058337,187300.04745792417
910GGORDONH,-0.094997,51.664115,1910.0,POINT (-0.094997 51.664115),531849.1860816702,197865.87525922887
910GGOSPLOK,-0.15077,51.555335,1860.0,POINT (-0.15077 51.555335),528298.2370759452,185669.82173570478
910GGRAYS,0.321832,51.476248,1854.0,POINT (0.321832 51.476248),561338.0169318061,177810.140259267
910GGRPK,-0.097358,51.642607,1910.0,POINT (-0.097358 51.642607),531748.2127791008,195469.81942838174
910GGRSTH,-0.381741,51.686616,1966.0,POINT (-0.381741 51.686616),511963.3885034778,199889.61430769885
910GGRVPK,0.021726,51.430863,1871.0,POINT (0.021726 51.430863),540638.2110137031,172145.1348586413
910GGRVSEND,0.369771,51.44562,1849.0,POINT (0.369771 51.44562),564776.9253509474,174511.05750227364
