xv,yv,rho
490,148,80
491,148,81
492,148,83
493,148,87
494,148,240
495,148,400
496,148,544
497,148,810
498,148,1036
499,148,1002
500,148,749
501,148,537
502,148,371
503,148,376
504,148,400
505,148,391
506,148,356
507,148,322
508,148,128
509,148,120
510,148,99
511,148,123
512,148,365
513,148,555
514,148,607
515,148,656
516,148,677
517,148,656
518,148,607
519,148,480
520,148,403
521,148,158
522,148,248
523,148,219
524,148,255
525,148,407
526,148,617
527,148,803
528,148,826
529,148,759
530,148,593
531,148,448
532,148,343
533,148,260
534,148,128
535,148,154
536,148,343
537,148,320
538,148,345
539,148,391
540,148,415
541,148,382
542,148,374
543,148,173
544,148,147
545,148,140
546,148,129
547,148,119
548,148,121
549,148,126
550,148,157
551,148,373
552,148,531
553,148,672
554,148,1196
555,148,1774
556,148,1221
557,148,911
558,148,774
559,148,760
560,148,525
561,148,466
562,148,424
563,148,165
564,148,159
565,148,223
566,148,222
567,148,220
568,148,169
569,148,166
570,148,165
571,148,149
572,148,137
573,148,138
490,149,118
491,149,111
492,149,118
493,149,158
494,149,284
495,149,428
496,149,594
497,149,818
498,149,1042
499,149,1036
500,149,816
501,149,632
502,149,529
503,149,538
504,149,549
505,149,518
506,149,457
507,149,393
508,149,315
509,149,296
510,149,288
511,149,319
512,149,442
513,149,587
514,149,713
515,149,825
516,149,874
517,149,823
518,149,707
519,149,569
520,149,456
521,149,350
522,149,346
523,149,368
524,149,457
525,149,647
526,149,922
527,149,1195
528,149,1216
529,149,995
530,149,747
531,149,556
532,149,433
533,149,363
534,149,320
535,149,334
536,149,411
537,149,464
538,149,522
539,149,561
540,149,552
541,149,497
542,149,427
543,149,315
544,149,223
545,149,168
546,149,145
547,149,139
548,149,147
549,149,173
550,149,239
551,149,401
552,149,550
553,149,715
554,149,975
555,149,1161
556,149,1006
557,149,817
558,149,678
559,149,578
560,149,446
561,149,361
562,149,275
563,149,190
564,149,177
565,149,195
566,149,200
567,149,196
568,149,180
569,149,173
570,149,169
571,149,164
572,149,160
573,149,164
490,150,146
491,150,134
492,150,143
493,150,187
494,150,298
495,150,432
496,150,579
497,150,751
498,150,902
499,150,909
500,150,783
501,150,672
502,150,661
503,150,720
504,150,752
505,150,691
506,150,586
507,150,501
508,150,465
509,150,448
510,150,432
511,150,443
512,150,525
513,150,668
514,150,855
515,150,1055
516,150,1162
517,150,1052
518,150,846
519,150,654
520,150,518
521,150,438
522,150,425
523,150,465
524,150,577
525,150,789
526,150,1115
527,150,1502
528,150,1524
529,150,1178
530,150,872
531,150,652
532,150,521
533,150,475
534,150,455
535,150,459
536,150,527
537,150,631
538,150,745
539,150,804
540,150,757
541,150,643
542,150,521
543,150,407
544,150,301
545,150,201
546,150,162
547,150,161
548,150,185
549,150,235
550,150,309
551,150,446
552,150,562
553,150,672
554,150,791
555,150,853
556,150,790
557,150,677
558,150,558
559,150,435
560,150,312
561,150,248
562,150,204
563,150,178
564,150,175
565,150,182
566,150,186
567,150,186
568,150,181
569,150,179
570,150,178
571,150,178
572,150,177
573,150,168
490,151,151
491,151,152
492,151,169
493,151,213
494,151,293
495,151,416
496,151,536
497,151,655
498,151,746
499,151,760
500,151,710
501,151,686
502,151,767
503,151,917
504,151,1022
505,151,898
506,151,729
507,151,632
508,151,638
509,151,628
510,151,590
511,151,570
512,151,626
513,151,762
514,151,989
515,151,1291
516,151,1508
517,151,1282
518,151,965
519,151,719
520,151,569
521,151,510
522,151,511
523,151,543
524,151,636
525,151,818
526,151,1090
527,151,1383
528,151,1448
529,151,1244
530,151,1010
531,151,791
532,151,659
533,151,636
534,151,622
535,151,605
536,151,670
537,151,828
538,151,1031
539,151,1145
540,151,1029
541,151,814
542,151,618
543,151,469
544,151,346
545,151,223
546,151,180
547,151,194
548,151,255
549,151,355
550,151,448
551,151,546
552,151,616
553,151,655
554,151,689
555,151,687
556,151,636
557,151,545
558,151,428
559,151,305
560,151,226
561,151,191
562,151,174
563,151,168
564,151,169
565,151,175
566,151,180
567,151,182
568,151,184
569,151,186
570,151,191
571,151,198
572,151,204
573,151,205
490,152,159
491,152,187
492,152,228
493,152,297
494,152,360
495,152,433
496,152,515
497,152,602
498,152,668
499,152,684
500,152,664
501,152,690
502,152,815
503,152,1041
504,152,1292
505,152,1041
506,152,838
507,152,814
508,152,882
509,152,881
510,152,800
511,152,743
512,152,798
513,152,872
514,152,1047
515,152,1323
516,152,1530
517,152,1300
518,152,981
519,152,743
520,152,617
521,152,610
522,152,641
523,152,668
524,152,704
525,152,819
526,152,1024
527,152,1335
528,152,1593
529,152,1546
530,152,1240
531,152,968
532,152,869
533,152,890
534,152,882
535,152,831
536,152,833
537,152,1011
538,152,1311
539,152,1539
540,152,1289
541,152,948
542,152,683
543,152,502
544,152,366
545,152,237
546,152,202
547,152,251
548,152,356
549,152,470
550,152,582
551,152,684
552,152,743
553,152,740
554,152,693
555,152,620
556,152,542
557,152,432
558,152,307
559,152,226
560,152,185
561,152,167
562,152,161
563,152,160
564,152,164
565,152,170
566,152,177
567,152,182
568,152,187
569,152,194
570,152,206
571,152,223
572,152,239
573,152,236
490,153,316
491,153,274
492,153,322
493,153,386
494,153,441
495,153,491
496,153,560
497,153,659
498,153,746
499,153,759
500,153,707
501,153,679
502,153,765
503,153,922
504,153,1039
505,153,944
506,153,857
507,153,989
508,153,1188
509,153,1209
