xv,yv,rho
490,148,167
491,148,165
492,148,161
493,148,153
494,148,226
495,148,366
496,148,453
497,148,633
498,148,732
499,148,685
500,148,556
501,148,444
502,148,333
503,148,342
504,148,362
505,148,358
506,148,337
507,148,317
508,148,233
509,148,213
510,148,173
511,148,219
512,148,358
513,148,543
514,148,562
515,148,581
516,148,589
517,148,581
518,148,562
519,148,456
520,148,402
521,148,294
522,148,301
523,148,172
524,148,143
525,148,201
526,148,286
527,148,364
528,148,398
529,148,476
530,148,433
531,148,371
532,148,314
533,148,331
534,148,243
535,148,279
536,148,332
537,148,284
538,148,293
539,148,338
540,148,374
541,148,355
542,148,368
543,148,320
544,148,284
545,148,283
546,148,267
547,148,249
548,148,245
549,148,244
550,148,284
551,148,349
552,148,459
553,148,475
554,148,861
555,148,1133
556,148,895
557,148,775
558,148,725
559,148,709
560,148,467
561,148,444
562,148,429
563,148,315
564,148,320
565,148,466
566,148,469
567,148,467
568,148,359
569,148,353
570,148,351
571,148,317
572,148,292
573,148,295
490,149,246
491,149,220
492,149,212
493,149,226
494,149,300
495,149,397
496,149,504
497,149,648
498,149,770
499,149,764
500,149,647
501,149,533
502,149,451
503,149,436
504,149,431
505,149,411
506,149,378
507,149,346
508,149,313
509,149,298
510,149,288
511,149,318
512,149,395
513,149,499
514,149,570
515,149,627
516,149,653
517,149,627
518,149,567
519,149,485
520,149,424
521,149,373
522,149,352
523,149,328
524,149,350
525,149,427
526,149,548
527,149,672
528,149,683
529,149,596
530,149,488
531,149,405
532,149,353
533,149,338
534,149,321
535,149,329
536,149,348
537,149,356
538,149,382
539,149,411
540,149,420
541,149,405
542,149,391
543,149,366
544,149,316
545,149,291
546,149,276
547,149,268
548,149,270
549,149,285
550,149,325
551,149,412
552,149,495
553,149,574
554,149,735
555,149,833
556,149,772
557,149,694
558,149,632
559,149,573
560,149,468
561,149,418
562,149,366
563,149,340
564,149,354
565,149,405
566,149,420
567,149,413
568,149,377
569,149,362
570,149,354
571,149,343
572,149,338
573,149,348
490,150,300
491,150,261
492,150,249
493,150,265
494,150,334
495,150,413
496,150,508
497,150,622
498,150,720
