xv,yv,rho
490,148,81
491,148,83
492,148,87
493,148,96
494,148,260
495,148,437
496,148,615
497,148,931
498,148,1218
499,148,1187
500,148,874
501,148,608
502,148,410
503,148,413
504,148,439
505,148,427
506,148,384
507,148,341
508,148,140
509,148,132
510,148,111
511,148,136
512,148,388
513,148,590
514,148,660
515,148,725
516,148,753
517,148,725
518,148,660
519,148,516
520,148,426
521,148,170
522,148,264
523,148,253
524,148,321
525,148,520
526,148,791
527,148,1025
528,148,1045
529,148,920
530,148,696
531,148,507
532,148,375
533,148,277
534,148,137
535,148,169
536,148,366
537,148,354
538,148,388
539,148,436
540,148,456
541,148,416
542,148,397
543,148,188
544,148,155
545,148,145
546,148,132
547,148,121
548,148,124
549,148,133
550,148,173
551,148,406
552,148,596
553,148,799
554,148,1404
555,148,2112
556,148,1425
557,148,1023
558,148,839
559,148,827
560,148,581
561,148,503
562,148,445
563,148,176
564,148,165
565,148,226
566,148,224
567,148,221
568,148,170
569,148,166
570,148,165
571,148,149
572,148,137
573,148,138
490,149,120
491,149,116
492,149,129
493,149,178
494,149,305
495,149,470
496,149,672
497,149,947
498,149,1226
499,149,1221
500,149,949
501,149,719
502,149,595
503,149,613
504,149,630
505,149,592
506,149,516
507,149,434
508,149,344
509,149,322
510,149,312
511,149,346
512,149,485
513,149,654
514,149,812
515,149,954
516,149,1016
517,149,951
518,149,805
519,149,634
520,149,496
521,149,372
522,149,371
523,149,414
524,149,542
525,149,791
526,149,1143
527,149,1481
528,149,1501
529,149,1216
530,149,895
531,149,648
532,149,488
533,149,396
534,149,346
535,149,365
536,149,460
537,149,535
538,149,611
539,149,657
540,149,638
541,149,563
542,149,469
543,149,336
544,149,244
545,149,184
546,149,155
547,149,147
548,149,159
549,149,195
550,149,273
551,149,435
552,149,611
553,149,821
554,149,1133
555,149,1360
556,149,1161
557,149,916
558,149,736
559,149,618
560,149,478
561,149,385
562,149,304
563,149,206
564,149,184
565,149,198
566,149,201
567,149,197
568,149,180
569,149,174
570,149,170
571,149,164
572,149,160
573,149,164
490,150,149
491,150,141
492,150,158
493,150,212
494,150,322
495,150,470
496,150,648
497,150,861
498,150,1049
499,150,1057
500,150,898
501,150,762
502,150,758
503,150,843
504,150,891
505,150,815
506,150,682
507,150,573
508,150,530
509,150,509
510,150,488
511,150,497
512,150,595
513,150,770
514,150,1003
515,150,1256
516,150,1387
517,150,1251
518,150,992
519,150,750
520,150,578
521,150,478
522,150,465
523,150,523
524,150,672
525,150,948
526,150,1361
527,150,1829
528,150,1856
529,150,1438
530,150,1053
531,150,771
532,150,602
533,150,542
534,150,517
535,150,523
536,150,612
537,150,749
538,150,895
539,150,968
540,150,904
541,150,754
542,150,591
543,150,442
544,150,319
545,150,223
546,150,178
547,150,177
548,150,209
549,150,268
550,150,353
551,150,482
552,150,615
553,150,751
554,150,898
555,150,973
556,150,892
557,150,746
558,150,598
559,150,465
560,150,350
561,150,277
562,150,226
563,150,190
564,150,180
565,150,184
566,150,188
567,150,187
568,150,182
569,150,180
570,150,179
571,150,179
572,150,178
573,150,168
490,151,157
491,151,165
492,151,192
493,151,244
494,151,332
495,151,454
496,151,592
497,151,738
498,151,850
499,151,866
500,151,803
501,151,779
502,151,893
503,151,1095
504,151,1233
505,151,1081
506,151,866
507,151,743
508,151,753
509,151,740
510,151,690
511,151,660
512,151,727
513,151,896
514,151,1180
515,151,1554
516,151,1812
517,151,1542
518,151,1150
519,151,839
520,151,649
521,151,575
522,151,578
523,151,620
524,151,739
525,151,973
526,151,1318
527,151,1683
528,151,1767
529,151,1518
530,151,1225
531,151,948
532,151,781
533,151,752
534,151,734
535,151,712
536,151,797
537,151,1001
538,151,1257
539,151,1397
540,151,1250
541,151,974
542,151,718
543,151,522
544,151,371
545,151,253
546,151,204
547,151,221
548,151,285
549,151,382
550,151,488
551,151,596
552,151,677
553,151,723
554,151,764
555,151,761
556,151,697
557,151,587
558,151,460
559,151,341
560,151,256
561,151,211
562,151,186
563,151,174
564,151,172
565,151,176
566,151,181
567,151,183
568,151,184
569,151,187
570,151,192
571,151,199
572,151,205
573,151,205
490,152,169
491,152,210
492,152,255
493,152,320
494,152,390
495,152,470
496,152,568
497,152,675
498,152,756
499,152,775
500,152,749
501,152,788
502,152,959
503,152,1252
504,152,1557
505,152,1260
506,152,1006
507,152,975
508,152,1063
509,152,1062
510,152,958
511,152,882
512,152,948
513,152,1039
514,152,1256
515,152,1596
516,152,1841
517,152,1567
518,152,1175
519,152,874
520,152,718
521,152,712
522,152,753
523,152,786
524,152,830
525,152,975
526,152,1236
527,152,1623
528,152,1937
529,152,1880
530,152,1510
531,152,1173
532,152,1050
533,152,1076
534,152,1066
535,152,1000
536,152,1005
537,152,1232
538,152,1602
539,152,1872
540,152,1573
541,152,1146
542,152,804
543,152,567
544,152,398
545,152,273
546,152,235
547,152,282
548,152,384
549,152,512
550,152,648
551,152,773
552,152,843
553,152,834
554,152,771
555,152,677
556,152,582
557,152,465
558,152,345
559,152,256
560,152,204
561,152,178
562,152,167
563,152,164
564,152,166
565,152,171
566,152,177
567,152,182
568,152,188
569,152,196
570,152,208
571,152,224
572,152,240
573,152,236
490,153,333
491,153,306
492,153,350
493,153,422
494,153,490
495,153,549
496,153,634
497,153,760
498,153,869
499,153,884
500,153,815
501,153,782
502,153,898
503,153,1105
504,153,1255
505,153,1138
506,153,1030
507,153,1196
508,153,1443
509,153,1469
510,153,1286
511,153,1199
512,153,1292
513,153,1325
514,153,1302
515,153,1432
516,153,1525
517,153,1369
518,153,1101
519,153,886
520,153,838
521,153,929
522,153,1038
523,153,1077
524,153,1068
525,153,1138
526,153,1324
527,153,1722
528,153,2201
529,153,2191
530,153,1706
531,153,1366
532,153,1393
533,153,1544
534,153,1546
535,153,1387
536,153,1258
537,153,1356
538,153,1654
539,153,1890
540,153,1578
541,153,1145
542,153,801
543,153,565
544,153,400
545,153,286
546,153,273
547,153,355
548,153,483
549,153,645
550,153,836
551,153,1025
552,153,1123
553,153,1052
554,153,890
555,153,716
556,153,558
557,153,403
558,153,282
559,153,212
560,153,177
561,153,162
562,153,156
563,153,157
564,153,161
565,153,168
566,153,175
567,153,183
568,153,191
569,153,204
570,153,224
571,153,256
572,153,297
573,153,315
490,154,443
491,154,388
492,154,446
493,154,544
494,154,634
495,154,685
496,154,742
497,154,904
498,154,1088
499,154,1098
500,154,936
501,154,797
502,154,791
503,154,879
504,154,945
505,154,935
506,154,1012
507,154,1311
508,154,1719
509,154,1795
510,154,1601
511,154,1539
512,154,1733
513,154,1737
514,154,1528
515,154,1436
516,154,1457
517,154,1335
518,154,1124
519,154,965
520,154,1018
521,154,1229
522,154,1461
523,154,1521
524,154,1481
525,154,1472
526,154,1443
527,154,1646
528,154,1938
529,154,1936
530,154,1648
531,154,1489
532,154,1764
533,154,2126
534,154,2156
535,154,1881
536,154,1692
537,154,1470
538,154,1451
539,154,1468
540,154,1270
541,154,972
542,154,709
543,154,516
544,154,379
545,154,293
546,154,316
547,154,427
548,154,575
549,154,778
550,154,1041
551,154,1341
552,154,1521
553,154,1342
554,154,1047
555,154,785
556,154,581
557,154,411
558,154,272
559,154,199
560,154,166
561,154,154
562,154,150
563,154,152
564,154,158
565,154,165
566,154,173
567,154,182
568,154,192
569,154,208
570,154,234
571,154,284
572,154,382
573,154,596
490,155,310
491,155,392
492,155,518
493,155,682
494,155,835
495,155,878
496,155,858
497,155,1007
498,155,1264
499,155,1279
500,155,1034
501,155,833
502,155,722
503,155,720
504,155,737
505,155,765
506,155,913
507,155,1193
508,155,1526
509,155,1729
510,155,1948
511,155,1828
512,155,2060
513,155,2052
514,155,1752
515,155,1797
516,155,1907
517,155,1728
518,155,1423
519,155,1198
520,155,1232
521,155,1536
522,155,1934
523,155,2028
524,155,2005
525,155,1950
526,155,1709
527,155,1614
528,155,1695
529,155,1694
530,155,1589
531,155,1635
532,155,2037
533,155,2591
534,155,2666
535,155,2426
536,155,2234
537,155,1769
538,155,1337
539,155,1128
540,155,951
541,155,756
542,155,580
543,155,441
544,155,340
545,155,298
546,155,366
547,155,500
548,155,684
549,155,929
550,155,1232
551,155,1618
552,155,1940
553,155,1568
554,155,1156
555,155,823
556,155,598
557,155,422
558,155,276
559,155,196
560,155,163
561,155,150
562,155,146
563,155,148
564,155,154
565,155,161
566,155,170
567,155,179
568,155,189
569,155,203
570,155,226
571,155,269
572,155,353
573,155,544
490,156,262
491,156,384
492,156,562
493,156,800
494,156,1050
495,156,1086
496,156,947
497,156,965
498,156,1132
499,156,1185
500,156,1070
501,156,935
502,156,786
503,156,688
504,156,654
505,156,678
506,156,788
507,156,986
508,156,1253
509,156,1615
510,156,1899
511,156,1761
512,156,1816
513,156,1828
514,156,1760
515,156,2142
516,156,2477
517,156,2191
518,156,1795
519,156,1524
520,156,1422
521,156,1710
522,156,2106
523,156,2216
524,156,2390
525,156,2358
526,156,2037
527,156,1983
528,156,1932
529,156,1941
530,156,1906
531,156,1840
532,156,2141
533,156,2556
534,156,2670
535,156,2787
536,156,2614
537,156,1940
538,156,1354
539,156,947
540,156,728
541,156,579
542,156,458
543,156,362
544,156,298
545,156,304
546,156,407
547,156,563
548,156,784
549,156,1097
550,156,1482
551,156,1790
552,156,1749
553,156,1568
554,156,1192
555,156,860
556,156,617
557,156,430
558,156,278
559,156,195
560,156,160
561,156,147
562,156,143
563,156,144
564,156,149
565,156,156
566,156,164
567,156,172
568,156,181
569,156,190
570,156,202
571,156,216
572,156,219
573,156,143
490,157,185
491,157,348
492,157,545
493,157,791
494,157,1044
495,157,1075
496,157,914
497,157,854
498,157,986
499,157,1201
500,157,1317
