xv,yv,rho
490,148,29
491,148,28
492,148,26
493,148,21
494,148,25
495,148,61
496,148,78
497,148,120
498,148,125
499,148,106
500,148,91
501,148,75
502,148,50
503,148,54
504,148,59
505,148,59
506,148,55
507,148,51
508,148,51
509,148,43
510,148,28
511,148,42
512,148,63
513,148,123
514,148,123
515,148,123
516,148,123
517,148,123
518,148,123
519,148,92
520,148,78
521,148,78
522,148,47
523,148,8
524,148,0
525,148,0
526,148,0
527,148,0
528,148,4
529,148,46
530,148,58
531,148,55
532,148,46
533,148,57
534,148,57
535,148,56
536,148,55
537,148,37
538,148,37
539,148,49
540,148,62
541,148,59
542,148,66
543,148,72
544,148,75
545,148,76
546,148,70
547,148,62
548,148,60
549,148,58
550,148,58
551,148,58
552,148,84
553,148,66
554,148,167
555,148,182
556,148,182
557,148,182
558,148,182
559,148,176
560,148,90
561,148,89
562,148,89
563,148,89
564,148,93
565,148,166
566,148,168
567,148,167
568,148,114
569,148,111
570,148,110
571,148,94
572,148,82
573,148,83
490,149,61
491,149,46
492,149,30
493,149,21
494,149,31
495,149,69
496,149,117
497,149,126
498,149,230
499,149,1721
500,149,969
501,149,182
502,149,50
503,149,49
504,149,61
505,149,60
506,149,53
507,149,52
508,149,54
509,149,47
510,149,33
511,149,45
512,149,77
513,149,118
514,149,122
515,149,123
516,149,123
517,149,123
518,149,121
519,149,92
520,149,79
521,149,75
522,149,38
523,149,28
524,149,372
525,149,341
526,149,302
527,149,250
528,149,20
529,149,53
530,149,58
531,149,58
532,149,56
533,149,57
534,149,57
535,149,55
536,149,49
537,149,37
538,149,55
539,149,67
540,149,66
541,149,61
542,149,65
543,149,88
544,149,90
545,149,89
546,149,76
547,149,61
548,149,64
549,149,75
550,149,67
551,149,85
552,149,168
553,149,115
554,149,149
555,149,165
556,149,99
557,149,146
558,149,176
559,149,124
560,149,90
561,149,89
562,149,89
563,149,89
564,149,105
565,149,154
566,149,163
567,149,146
568,149,118
569,149,111
570,149,106
571,149,96
572,149,96
573,149,109
490,150,84
491,150,82
492,150,80
493,150,69
494,150,62
495,150,68
496,150,79
497,150,108
498,150,139
499,150,255
500,150,200
501,150,89
502,150,44
503,150,45
504,150,88
505,150,78
506,150,56
507,150,60
508,150,62
509,150,46
510,150,45
511,150,49
512,150,62
513,150,80
514,150,101
515,150,121
516,150,121
517,150,121
518,150,119
519,150,89
520,150,78
521,150,66
522,150,49
523,150,55
524,150,442
525,150,442
526,150,276
527,150,248
528,150,20
529,150,53
530,150,58
531,150,58
532,150,57
533,150,57
534,150,57
535,150,55
536,150,46
537,150,37
538,150,60
539,150,68
540,150,65
541,150,61
542,150,63
543,150,85
544,150,90
545,150,90
546,150,73
547,150,62
548,150,76
549,150,79
550,150,72
551,150,117
552,150,178
553,150,165
554,150,177
555,150,151
556,150,75
557,150,148
558,150,171
559,150,118
560,150,89
561,150,88
562,150,89
563,150,93
564,150,141
565,150,163
566,150,119
567,150,76
568,150,91
569,150,109
570,150,108
571,150,97
572,150,99
573,150,113
490,151,84
491,151,84
492,151,84
493,151,78
494,151,68
495,151,67
496,151,70
497,151,97
498,151,149
499,151,152
500,151,140
501,151,93
502,151,46
503,151,52
504,151,92
505,151,60
506,151,56
507,151,63
508,151,62
509,151,45
510,151,46
511,151,48
512,151,55
513,151,72
514,151,82
515,151,100
516,151,90
517,151,83
518,151,84
519,151,76
520,151,77
521,151,64
522,151,49
523,151,52
524,151,300
525,151,318
526,151,40
527,151,21
528,151,7
529,151,48
530,151,58
531,151,57
532,151,57
533,151,57
534,151,57
535,151,55
536,151,41
537,151,37
538,151,65
539,151,68
540,151,64
541,151,61
542,151,62
543,151,76
544,151,90
545,151,90
546,151,73
547,151,62
548,151,79
549,151,79
550,151,73
551,151,156
552,151,182
553,151,182
554,151,180
555,151,133
556,151,86
557,151,79
558,151,88
559,151,78
560,151,75
561,151,83
562,151,89
563,151,92
564,151,121
565,151,162
566,151,149
567,151,84
568,151,90
569,151,107
570,151,108
571,151,102
572,151,127
573,151,153
490,152,84
491,152,84
492,152,83
493,152,82
494,152,71
495,152,68
496,152,68
497,152,80
498,152,134
499,152,111
500,152,95
501,152,69
502,152,62
503,152,76
504,152,93
505,152,64
506,152,54
507,152,62
508,152,63
509,152,49
510,152,46
511,152,48
512,152,54
513,152,71
514,152,71
515,152,67
516,152,66
517,152,65
518,152,65
519,152,59
520,152,70
521,152,56
522,152,45
523,152,45
524,152,105
525,152,32
526,152,24
527,152,29
528,152,38
529,152,66
530,152,63
531,152,56
532,152,56
533,152,57
534,152,57
535,152,55
536,152,42
537,152,45
538,152,67
539,152,66
540,152,61
541,152,60
542,152,61
543,152,77
544,152,90
545,152,89
546,152,67
547,152,61
548,152,79
549,152,77
550,152,70
551,152,165
552,152,182
553,152,183
554,152,179
555,152,116
556,152,86
557,152,75
558,152,74
559,152,71
560,152,73
561,152,77
562,152,84
563,152,90
564,152,92
565,152,114
566,152,113
567,152,138
568,152,105
569,152,115
570,152,100
571,152,96
572,152,155
573,152,186
490,153,84
491,153,77
492,153,60
493,153,63
494,153,77
495,153,71
496,153,67
497,153,68
498,153,71
499,153,68
500,153,66
501,153,63
502,153,74
503,153,78
504,153,82
505,153,66
506,153,63
507,153,64
508,153,63
509,153,47
510,153,46
511,153,49
512,153,56
513,153,71
514,153,68
515,153,63
516,153,65
517,153,67
518,153,61
519,153,44
520,153,43
521,153,40
522,153,38
523,153,42
524,153,10
525,153,13
526,153,34
527,153,40
528,153,67
529,153,72
530,153,58
531,153,42
532,153,42
533,153,52
534,153,53
535,153,51
536,153,51
537,153,56
538,153,68
539,153,65
540,153,57
541,153,43
542,153,43
543,153,78
544,153,90
545,153,88
546,153,63
547,153,60
548,153,77
549,153,77
550,153,72
551,153,169
552,153,182
553,153,183
554,153,178
555,153,111
556,153,88
557,153,87
558,153,99
559,153,80
560,153,78
561,153,78
562,153,80
563,153,88
564,153,86
565,153,86
566,153,91
567,153,174
568,153,189
569,153,168
570,153,115
571,153,89
572,153,156
573,153,276
490,154,83
491,154,48
492,154,37
493,154,37
494,154,41
495,154,46
496,154,63
497,154,66
498,154,64
499,154,62
500,154,62
501,154,67
502,154,77
503,154,78
504,154,78
505,154,77
506,154,76
507,154,68
508,154,61
509,154,46
510,154,48
511,154,50
512,154,62
513,154,71
514,154,68
515,154,73
516,154,89
517,154,108
518,154,79
519,154,45
520,154,41
521,154,38
522,154,38
523,154,45
524,154,9
525,154,18
526,154,54
527,154,56
528,154,72
529,154,72
530,154,47
531,154,30
532,154,40
533,154,50
534,154,48
535,154,46
536,154,53
537,154,43
538,154,66
539,154,60
540,154,39
541,154,30
542,154,34
543,154,81
544,154,90
545,154,89
546,154,64
547,154,63
548,154,79
549,154,76
550,154,70
551,154,167
552,154,182
553,154,182
554,154,168
555,154,100
556,154,87
557,154,89
558,154,102
559,154,86
560,154,78
561,154,78
562,154,78
563,154,82
564,154,83
565,154,83
566,154,92
567,154,191
568,154,205
569,154,167
570,154,66
571,154,117
572,154,203
573,154,617
490,155,27
491,155,36
492,155,36
493,155,36
494,155,37
495,155,45
496,155,59
497,155,61
498,155,61
499,155,61
500,155,62
501,155,71
502,155,77
503,155,78
504,155,78
505,155,77
506,155,74
507,155,65
508,155,49
509,155,53
510,155,48
511,155,50
512,155,63
513,155,69
514,155,64
515,155,82
516,155,127
517,155,130
518,155,120
519,155,69
520,155,43
521,155,38
522,155,42
523,155,48
524,155,13
525,155,18
526,155,57
527,155,60
528,155,71
529,155,72
530,155,45
531,155,30
532,155,40
533,155,49
534,155,42
535,155,49
536,155,42
537,155,32
538,155,60
539,155,47
540,155,31
541,155,29
542,155,34
543,155,83
544,155,89
545,155,83
546,155,61
547,155,69
548,155,79
549,155,73
550,155,70
551,155,169
552,155,181
553,155,181
554,155,147
555,155,90
556,155,87
557,155,93
558,155,105
559,155,101
560,155,80
561,155,78
562,155,78
563,155,73
564,155,67
565,155,81
566,155,147
567,155,238
568,155,207
569,155,148
570,155,121
571,155,106
572,155,143
573,155,552
490,156,13
491,156,34
492,156,35
493,156,36
494,156,43
495,156,58
496,156,61
497,156,61
498,156,61
499,156,61
500,156,61
501,156,67
502,156,71
503,156,77
504,156,77
505,156,72
506,156,65
507,156,64
508,156,51
509,156,62
510,156,51
511,156,56
