xv,yv,rho
490,148,220
491,148,216
492,148,208
493,148,192
494,148,204
495,148,325
496,148,375
497,148,493
498,148,508
499,148,456
500,148,412
501,148,370
502,148,296
503,148,307
504,148,326
505,148,331
506,148,328
507,148,308
508,148,303
509,148,272
510,148,219
511,148,267
512,148,332
513,148,502
514,148,507
515,148,507
516,148,508
517,148,510
518,148,515
519,148,437
520,148,397
521,148,388
522,148,289
523,148,139
524,148,74
525,148,76
526,148,78
527,148,80
528,148,118
529,148,286
530,148,321
531,148,310
532,148,282
533,148,315
534,148,312
535,148,309
536,148,309
537,148,250
538,148,250
539,148,293
540,148,333
541,148,324
542,148,346
543,148,361
544,148,370
545,148,373
546,148,351
547,148,332
548,148,325
549,148,319
550,148,319
551,148,321
552,148,403
553,148,355
554,148,639
555,148,671
556,148,666
557,148,664
558,148,663
559,148,646
560,148,409
561,148,406
562,148,406
563,148,406
564,148,418
565,148,615
566,148,620
567,148,618
568,148,476
569,148,468
570,148,465
571,148,421
572,148,388
573,148,391
490,149,325
491,149,290
492,149,272
493,149,267
494,149,289
495,149,354
496,149,427
497,149,525
498,149,594
499,149,610
500,149,571
501,149,495
502,149,406
503,149,360
504,149,343
505,149,335
506,149,327
507,149,314
508,149,302
509,149,286
510,149,274
511,149,302
512,149,351
513,149,426
514,149,461
515,149,474
516,149,479
517,149,476
518,149,464
519,149,428
520,149,398
521,149,378
522,149,351
523,149,328
524,149,334
525,149,342
526,149,326
527,149,298
528,149,283
529,149,307
530,149,314
531,149,310
532,149,303
533,149,309
534,149,306
535,149,305
536,149,298
537,149,282
538,149,287
539,149,309
540,149,330
541,149,338
542,149,352
543,149,365
544,149,373
545,149,372
546,149,362
547,149,352
548,149,350
549,149,358
550,149,376
551,149,407
552,149,456
553,149,486
554,149,575
555,149,602
556,149,599
557,149,590
558,149,575
559,149,539
560,149,451
561,149,424
562,149,421
563,149,434
564,149,467
565,149,538
566,149,556
567,149,544
568,149,494
569,149,473
570,149,462
571,149,448
572,149,443
573,149,462
490,150,394
491,150,344
492,150,321
493,150,315
494,150,330
495,150,373
496,150,440
497,150,534
498,150,618
499,150,651
500,150,618
501,150,531
502,150,443
503,150,383
504,150,355
505,150,341
506,150,330
507,150,319
508,150,307
509,150,297
510,150,295
511,150,314
512,150,347
513,150,391
514,150,421
515,150,442
516,150,448
517,150,444
518,150,430
519,150,406
520,150,385
521,150,377
522,150,389
523,150,424
524,150,469
525,150,485
526,150,458
527,150,412
528,150,364
529,150,332
530,150,318
531,150,312
532,150,308
533,150,308
534,150,306
535,150,302
536,150,298
537,150,297
538,150,305
539,150,322
540,150,337
541,150,347
542,150,358
543,150,369
544,150,376
545,150,376
546,150,369
547,150,365
548,150,370
549,150,388
550,150,421
551,150,464
552,150,508
553,150,539
554,150,565
555,150,563
556,150,547
557,150,529
558,150,510
559,150,482
560,150,441
561,150,423
562,150,425
563,150,442
564,150,471
565,150,506
566,150,519
567,150,512
568,150,491
569,150,477
570,150,472
571,150,474
572,150,481
573,150,473
490,151,394
491,151,364
492,151,346
493,151,339
494,151,347
495,151,377
496,151,426
497,151,494
498,151,561
499,151,594
500,151,569
501,151,497
502,151,430
503,151,383
504,151,359
505,151,346
506,151,334
507,151,323
508,151,312
509,151,303
510,151,302
511,151,312
512,151,337
513,151,367
514,151,392
515,151,411
516,151,417
517,151,413
518,151,400
519,151,381
520,151,365
521,151,362
522,151,383
523,151,430
524,151,480
525,151,497
526,151,465
527,151,413
528,151,365
529,151,333
530,151,319
531,151,312
532,151,308
533,151,306
534,151,304
535,151,300
536,151,299
537,151,303
538,151,314
539,151,330
540,151,346
541,151,354
542,151,360
543,151,369
544,151,377
545,151,377
546,151,373
547,151,372
548,151,383
549,151,410
550,151,451
551,151,501
552,151,544
553,151,565
554,151,563
555,151,540
556,151,509
557,151,484
558,151,464
559,151,440
560,151,421
561,151,413
562,151,418
563,151,436
564,151,462
565,151,488
566,151,502
567,151,504
568,151,496
569,151,490
570,151,493
571,151,513
572,151,547
573,151,580
490,152,394
491,152,367
492,152,349
493,152,341
494,152,348
495,152,364
496,152,395
497,152,438
498,152,480
499,152,500
500,152,484
501,152,444
502,152,398
503,152,375
504,152,361
505,152,350
506,152,339
507,152,327
508,152,316
509,152,307
510,152,302
511,152,311
512,152,329
513,152,351
514,152,371
515,152,385
516,152,394
517,152,391
518,152,377
519,152,359
520,152,343
521,152,337
522,152,351
523,152,383
524,152,418
525,152,434
526,152,414
527,152,371
528,152,351
529,152,334
530,152,319
531,152,309
532,152,304
533,152,302
534,152,300
535,152,298
536,152,298
537,152,304
538,152,315
539,152,329
540,152,350
541,152,358
542,152,354
543,152,364
544,152,374
545,152,375
546,152,373
547,152,376
548,152,392
549,152,425
550,152,472
551,152,523
552,152,563
553,152,576
554,152,560
555,152,524
556,152,485
557,152,455
558,152,431
559,152,416
560,152,405
561,152,401
562,152,408
563,152,424
564,152,448
565,152,475
566,152,498
567,152,512
568,152,515
569,152,515
570,152,527
571,152,568
572,152,634
573,152,666
490,153,394
491,153,356
492,153,335
493,153,331
494,153,333
495,153,345
496,153,366
497,153,391
498,153,414
499,153,424
500,153,416
