xv,yv,rho
535,153,80
536,153,79
537,153,84
538,153,95
539,153,94
540,153,84
541,153,75
542,153,81
543,153,110
544,153,125
545,153,122
546,153,103
547,153,99
548,153,111
549,153,115
550,153,133
551,153,207
552,153,239
553,153,241
554,153,222
555,153,167
556,153,135
557,153,128
558,153,131
559,153,121
560,153,116
561,153,116
562,153,119
563,153,125
564,153,128
565,153,136
566,153,158
567,153,213
568,153,227
569,153,205
570,153,163
571,153,164
572,153,244
573,153,360
490,154,122
491,154,86
492,154,72
493,154,70
494,154,75
495,154,82
496,154,93
497,154,98
498,154,99
499,154,98
500,154,98
501,154,102
502,154,111
503,154,114
504,154,115
505,154,111
506,154,107
507,154,100
508,154,90
509,154,79
510,154,77
511,154,81
512,154,93
513,154,102
514,154,104
515,154,113
516,154,130
517,154,138
518,154,118
519,154,86
520,154,71
521,154,66
522,154,65
523,154,62
524,154,40
525,154,44
526,154,72
527,154,86
528,154,100
529,154,99
530,154,79
531,154,64
532,154,68
533,154,76
534,154,76
535,154,76
536,154,77
537,154,77
538,154,90
539,154,85
540,154,69
541,154,61
542,154,72
543,154,108
544,154,124
545,154,121
546,154,103
547,154,101
548,154,111
549,154,114
550,154,132
551,154,206
552,154,237
553,154,238
554,154,212
555,154,157
556,154,133
557,154,132
558,154,138
559,154,128
560,154,119
561,154,116
562,154,116
563,154,119
564,154,120
565,154,130
566,154,166
567,154,239
568,154,251
569,154,212
570,154,157
571,154,182
572,154,333
573,154,769
490,155,47
491,155,61
492,155,61
493,155,62
494,155,67
495,155,78
496,155,90
497,155,94
498,155,94
499,155,94
500,155,96
501,155,103
502,155,111
503,155,114
504,155,114
505,155,111
506,155,106
507,155,97
508,155,86
509,155,82
510,155,80
511,155,83
512,155,94
513,155,101
514,155,104
515,155,125
516,155,157
517,155,163
518,155,143
519,155,104
520,155,80
521,155,70
522,155,69
523,155,65
524,155,43
525,155,49
526,155,78
527,155,91
528,155,100
529,155,97
530,155,75
531,155,62
532,155,68
533,155,74
534,155,73
535,155,74
536,155,68
537,155,64
538,155,77
539,155,71
540,155,59
541,155,56
542,155,70
543,155,105
