xv,yv,rho
490,148,289
491,148,371
492,148,460
493,148,350
494,148,275
495,148,339
496,148,365
497,148,347
498,148,353
499,148,317
500,148,292
501,148,392
502,148,344
503,148,407
504,148,531
505,148,746
506,148,1141
507,148,727
508,148,510
509,148,374
510,148,298
511,148,340
512,148,335
513,148,460
514,148,538
515,148,547
516,148,591
517,148,682
518,148,863
519,148,1147
520,148,1119
521,148,755
522,148,477
523,148,236
524,148,164
525,148,240
526,148,349
527,148,448
528,148,481
529,148,533
530,148,468
531,148,390
532,148,324
533,148,336
534,148,278
535,148,287
536,148,358
537,148,329
538,148,360
539,148,421
540,148,460
541,148,435
542,148,442
543,148,432
544,148,417
545,148,401
546,148,310
547,148,357
548,148,362
549,148,366
550,148,379
551,148,444
552,148,643
553,148,830
554,148,1280
555,148,1086
556,148,880
557,148,769
558,148,714
559,148,691
560,148,406
561,148,418
562,148,417
563,148,398
564,148,386
565,148,534
566,148,529
567,148,429
568,148,330
569,148,322
570,148,320
571,148,289
572,148,266
573,148,268
490,149,381
491,149,411
492,149,444
493,149,393
494,149,353
495,149,368
496,149,388
497,149,378
498,149,379
499,149,370
500,149,366
501,149,412
502,149,413
503,149,447
504,149,522
505,149,636
506,149,738
507,149,617
508,149,491
509,149,419
510,149,407
511,149,427
512,149,426
513,149,455
514,149,489
515,149,512
516,149,558
517,149,633
518,149,744
519,149,859
520,149,835
521,149,671
522,149,512
523,149,405
524,149,400
525,149,487
526,149,625
527,149,762
528,149,775
529,149,673
530,149,542
531,149,437
532,149,368
533,149,339
534,149,320
535,149,338
536,149,387
537,149,437
538,149,511
539,149,582
540,149,606
541,149,590
542,149,555
543,149,506
544,149,460
545,149,422
546,149,390
547,149,407
548,149,434
549,149,469
550,149,508
551,149,554
552,149,653
553,149,771
554,149,912
555,149,871
556,149,774
557,149,692
558,149,635
559,149,594
560,149,514
561,149,515
562,149,505
563,149,468
564,149,448
565,149,477
566,149,469
567,149,404
568,149,352
569,149,334
570,149,325
571,149,314
572,149,308
573,149,317
490,150,420
491,150,409
492,150,410
493,150,389
494,150,375
495,150,390
496,150,419
497,150,441
498,150,426
499,150,421
500,150,412
501,150,431
502,150,432
503,150,445
504,150,478
505,150,524
506,150,549
507,150,505
508,150,450
509,150,447
510,150,492
511,150,538
512,150,501
513,150,469
514,150,467
515,150,481
516,150,514
517,150,561
518,150,618
519,150,661
520,150,646
521,150,578
522,150,516
523,150,508
524,150,570
525,150,675
526,150,821
527,150,987
528,150,981
529,150,790
530,150,609
531,150,478
532,150,396
533,150,357
534,150,348
535,150,373
536,150,437
537,150,541
538,150,685
539,150,806
540,150,821
541,150,795
542,150,705
543,150,601
544,150,513
545,150,457
546,150,441
547,150,467
548,150,522
549,150,594
550,150,660
551,150,692
552,150,703
553,150,718
554,150,745
555,150,722
556,150,667
557,150,609
558,150,569
559,150,550
560,150,552
561,150,601
562,150,593
563,150,519
564,150,471
565,150,459
566,150,449
567,150,419
568,150,361
569,150,343
570,150,339
571,150,339
572,150,339
573,150,325
490,151,397
491,151,385
492,151,379
493,151,373
494,151,378
495,151,402
496,151,443
497,151,482
498,151,501
499,151,499
500,151,471
501,151,416
502,151,418
503,151,421
504,151,431
505,151,445
506,151,447
507,151,429
508,151,419
509,151,453
510,151,540
511,151,648
512,151,553
513,151,480
514,151,457
515,151,464
516,151,487
517,151,507
518,151,526
519,151,538
520,151,532
521,151,514
522,151,514
523,151,571
524,151,688
525,151,826
526,151,905
527,151,972
528,151,974
529,151,838
530,151,678
531,151,534
532,151,435
533,151,383
534,151,372
535,151,401
536,151,479
537,151,627
538,151,853
539,151,1067
540,151,1076
541,151,1045
542,151,866
543,151,704
544,151,560
545,151,488
546,151,486
547,151,543
548,151,637
549,151,757
550,151,865
551,151,882
552,151,811
553,151,734
554,151,677
555,151,635
556,151,587
557,151,539
558,151,510
559,151,505
560,151,536
561,151,598
562,151,595
563,151,521
564,151,469
565,151,447
566,151,435
567,151,412
568,151,365
569,151,355
570,151,360
571,151,373
572,151,389
573,151,398
490,152,381
491,152,360
492,152,355
493,152,358
494,152,376
495,152,413
496,152,462
497,152,508
498,152,531
499,152,522
500,152,488
501,152,436
502,152,380
503,152,385
504,152,389
505,152,391
506,152,388
507,152,379
508,152,385
509,152,417
510,152,479
511,152,536
512,152,504
513,152,463
514,152,456
515,152,485
516,152,510
517,152,511
518,152,497
519,152,494
520,152,507
521,152,525
522,152,547
523,152,599
524,152,733
525,152,906
526,152,961
527,152,946
528,152,1051
529,152,995
530,152,798
531,152,610
532,152,483
533,152,420
534,152,411
535,152,430
536,152,498
537,152,642
538,152,875
539,152,1117
540,152,1233
541,152,1206
542,152,940
543,152,719
544,152,571
545,152,503
546,152,526
547,152,626
548,152,782
549,152,955
550,152,1104
551,152,1096
552,152,930
553,152,778
554,152,671
555,152,597
556,152,538
557,152,490
558,152,464
559,152,462
560,152,488
561,152,523
562,152,522
563,152,483
564,152,451
565,152,435
566,152,422
567,152,381
568,152,367
569,152,371
570,152,388
571,152,420
572,152,455
573,152,458
490,153,279
491,153,318
492,153,333
493,153,348
494,153,379
495,153,428
496,153,491
497,153,547
498,153,564
499,153,537
500,153,491
501,153,441
502,153,393
503,153,347
504,153,351
505,153,347
506,153,342
507,153,342
508,153,347
509,153,366
510,153,401
511,153,434
512,153,440
513,153,447
514,153,493
515,153,559
516,153,598
517,153,580
518,153,534
519,153,519
520,153,554
521,153,604
522,153,623
523,153,623
524,153,682
525,153,806
526,153,877
527,153,963
528,153,1177
529,153,1133
530,153,892
531,153,684
532,153,549
533,153,495
534,153,493
535,153,495
536,153,511
537,153,592
538,153,739
539,153,903
540,153,1036
541,153,1029
542,153,848
543,153,664
544,153,545
545,153,499
546,153,549
547,153,688
548,153,907
549,153,1152
550,153,1246
551,153,1196
552,153,985
553,153,804
554,153,676
555,153,586
556,153,516
557,153,460
558,153,440
559,153,441
560,153,459
561,153,476
562,153,475
563,153,455
564,153,439
565,153,428
566,153,413
567,153,377
568,153,375
569,153,388
570,153,420
571,153,480
572,153,565
573,153,610
490,154,274
491,154,276
492,154,318
493,154,350
494,154,391
495,154,451
496,154,531
497,154,610
498,154,622
499,154,565
500,154,500
501,154,448
502,154,407
503,154,366
504,154,317
505,154,292
506,154,287
507,154,307
508,154,314
509,154,328
510,154,352
511,154,379
512,154,408
513,154,466
514,154,569
515,154,693
516,154,765
517,154,712
518,154,614
519,154,579
520,154,646
521,154,753
522,154,761
523,154,673
524,154,623
525,154,702
526,154,800
527,154,956
528,154,1155
529,154,1031
530,154,903
531,154,780
532,154,667
533,154,628
534,154,650
535,154,637
536,154,583
537,154,555
538,154,604
539,154,688
540,154,773
541,154,772
542,154,679
543,154,571
544,154,503
545,154,486
546,154,549
547,154,696
548,154,920
549,154,1161
550,154,1219
551,154,1116
552,154,964
553,154,814
554,154,692
555,154,596
556,154,514
557,154,436
558,154,439
559,154,445
560,154,457
561,154,466
562,154,463
563,154,453
564,154,442
565,154,428
566,154,387
567,154,375
568,154,381
569,154,399
570,154,442
571,154,535
572,154,729
573,154,1155
490,155,156
491,155,253
492,155,314
493,155,366
494,155,419
495,155,480
496,155,563
497,155,659
498,155,668
499,155,589
500,155,522
501,155,475
502,155,432
503,155,390
504,155,346
505,155,291
506,155,269
507,155,287
508,155,294
509,155,307
510,155,328
511,155,358
512,155,409
513,155,500
514,155,647
515,155,837
516,155,969
517,155,858
518,155,699
519,155,637
520,155,722
521,155,883
522,155,882
523,155,721
524,155,635
525,155,734
526,155,846
527,155,875
528,155,951
529,155,943
530,155,1000
531,155,961
532,155,834
533,155,822
534,155,898
535,155,871
536,155,729
537,155,600
538,155,561
539,155,593
540,155,623
541,155,608
542,155,554
543,155,504
544,155,489
545,155,494
546,155,542
547,155,670
548,155,857
549,155,1035
550,155,1086
551,155,1031
552,155,993
553,155,887
554,155,749
555,155,626
556,155,533
557,155,471
558,155,463
559,155,475
560,155,492
561,155,500
562,155,492
563,155,475
564,155,460
565,155,443
566,155,396
567,155,379
568,155,385
569,155,400
570,155,435
571,155,513
572,155,675
573,155,1054
490,156,175
491,156,245
492,156,321
493,156,398
494,156,476
495,156,536
496,156,570
497,156,615
498,156,623
499,156,595
500,156,580
501,156,534
502,156,473
503,156,417
504,156,370
505,156,325
506,156,276
507,156,271
508,156,277
509,156,298
510,156,319
511,156,354
512,156,416
513,156,513
514,156,663
515,156,857
516,156,996
517,156,891
518,156,738
519,156,665
520,156,703
521,156,792
522,156,786
523,156,687
524,156,650
525,156,786
526,156,947
527,156,848
528,156,803
529,156,914
530,156,1104
531,156,1112
532,156,971
533,156,1030
534,156,1195
535,156,1146
536,156,898
537,156,709
538,156,708
539,156,755
540,156,745
541,156,662
542,156,570
543,156,541
544,156,551
545,156,557
546,156,575
547,156,697
548,156,897
549,156,1090
550,156,1152
551,156,1142
552,156,1176
553,156,1029
554,156,824
555,156,656
556,156,545
557,156,486
558,156,488
559,156,521
560,156,562
561,156,581
562,156,560
563,156,520
564,156,487
565,156,464
566,156,436
567,156,390
568,156,404
569,156,412
570,156,427
571,156,448
572,156,428
573,156,280
490,157,115
491,157,229
492,157,333
493,157,444
494,157,560
495,157,640
496,157,614
497,157,576
498,157,586
499,157,649
500,157,694
501,157,626
502,157,525
503,157,444
504,157,389
505,157,348
506,157,304
507,157,318
508,157,317
509,157,297
510,157,308
511,157,361
512,157,418
513,157,502
514,157,623
515,157,767
516,157,866
517,157,838
518,157,756
519,157,695
520,157,677
521,157,682
522,157,667
523,157,622
524,157,620
525,157,715
526,157,791
527,157,737
528,157,702
529,157,827
530,157,991
531,157,1034
532,157,1004
533,157,1187
534,157,1373
535,157,1255
536,157,993
537,157,844
538,157,953
539,157,1074
540,157,1036
541,157,842
542,157,674
543,157,671
544,157,707
545,157,693
546,157,675
547,157,759
548,157,996
549,157,1266
550,157,1327
551,157,1260
552,157,1368
553,157,1120
554,157,853
555,157,657
556,157,539
557,157,489
558,157,512
559,157,579
560,157,664
561,157,709
562,157,661
563,157,577
564,157,511
565,157,473
566,157,442
567,157,405
568,157,394
569,157,393
570,157,394
571,157,390
572,157,361
573,157,276
490,158,96
491,158,229
492,158,347
493,158,474
494,158,620
495,158,743
496,158,658
497,158,582
498,158,602
499,158,713
500,158,824
501,158,705
502,158,567
503,158,468
504,158,408
505,158,379
506,158,368
507,158,372
508,158,369
509,158,359
510,158,361
511,158,384
512,158,425
513,158,494
514,158,594
515,158,720
516,158,845
517,158,895
518,158,848
519,158,763
520,158,683
521,158,645
522,158,620
523,158,601
524,158,606
525,158,644
526,158,660
527,158,633
528,158,643
529,158,776
530,158,928
531,158,1035
532,158,1089
533,158,1225
534,158,1372
535,158,1238
536,158,1075
537,158,1081
538,158,1270
539,158,1479
540,158,1403
541,158,1052
542,158,821
543,158,895
544,158,985
545,158,907
546,158,787
547,158,774
548,158,981
549,158,1236
550,158,1274
551,158,1131
552,158,1131
553,158,981
554,158,772
555,158,608
556,158,510
557,158,478
558,158,521
559,158,621
560,158,758
561,158,850
562,158,756
563,158,623
564,158,528
565,158,473
566,158,432
567,158,392
568,158,380
569,158,382
570,158,379
571,158,368
572,158,343
573,158,291
490,159,125
491,159,249
492,159,354
493,159,462
494,159,573
495,159,645
496,159,607
497,159,563
498,159,603
499,159,715
500,159,795
501,159,717
502,159,590
503,159,491
504,159,438
505,159,427
506,159,434
507,159,441
508,159,434
509,159,419
510,159,410
511,159,418
512,159,450
513,159,517
514,159,630
515,159,795
516,159,992
517,159,1115
518,159,1013
519,159,856
520,159,733
521,159,674
522,159,665
523,159,682
524,159,704
525,159,698
526,159,655
527,159,623
528,159,702
529,159,932
530,159,1199
531,159,1402
532,159,1380
533,159,1225
534,159,1207
535,159,1199
536,159,1297
537,159,1433
538,159,1579
539,159,1644
540,159,1492
541,159,1133
542,159,1020
543,159,1170
544,159,1342
545,159,1134
546,159,875
547,159,734
548,159,835
549,159,980
550,159,1001
551,159,907
552,159,856
553,159,764
554,159,640
555,159,532
556,159,466
557,159,453
558,159,502
559,159,605
560,159,744
561,159,838
562,159,750
563,159,635
564,159,541
565,159,469
566,159,418
567,159,381
568,159,381
569,159,397
570,159,400
571,159,386
572,159,360
573,159,295
490,160,220
491,160,292
492,160,364
493,160,437
494,160,506
495,160,552
496,160,553
497,160,559
498,160,641
499,160,791
500,160,899
501,160,801
502,160,650
503,160,542
504,160,492
505,160,503
506,160,533
507,160,550
508,160,533
509,160,501
510,160,479
511,160,479
512,160,499
513,160,563
514,160,682
515,160,870
516,160,1119
517,160,1336
518,160,1142
519,160,925
520,160,793
521,160,769
522,160,809
523,160,861
524,160,913
525,160,886
526,160,783
527,160,727
528,160,864
529,160,1166
530,160,1548
531,160,1858
532,160,1740
533,160,1397
534,160,1235
535,160,1355
536,160,1610
537,160,1861
538,160,1932
539,160,1588
540,160,1312
541,160,1091
542,160,1181
543,160,1411
544,160,1403
545,160,1156
546,160,878
547,160,709
548,160,692
549,160,757
550,160,776
551,160,728
552,160,672
553,160,606
554,160,529
555,160,462
556,160,421
557,160,417
558,160,457
559,160,532
560,160,622
561,160,676
562,160,665
563,160,643
564,160,545
565,160,460
566,160,407
567,160,384
568,160,408
569,160,456
570,160,468
571,160,440
572,160,412
573,160,405
490,161,266
491,161,335
492,161,383
493,161,438
494,161,497
495,161,555
496,161,597
497,161,605
498,161,661
499,161,798
500,161,900
501,161,811
502,161,678
503,161,593
504,161,571
505,161,612
506,161,681
507,161,720
508,161,683
509,161,622
510,161,590
511,161,578
512,161,582
513,161,628
514,161,727
515,161,876
516,161,1055
517,161,1170
518,161,1070
519,161,917
520,161,839
521,161,901
522,161,1017
523,161,1115
