xv,yv,rho
490,148,332
491,148,455
492,148,589
493,148,436
494,148,319
495,148,359
496,148,373
497,148,291
498,148,293
499,148,264
500,148,245
501,148,400
502,148,363
503,148,446
504,148,610
505,148,897
506,148,1413
507,148,880
508,148,589
509,148,414
510,148,342
511,148,388
512,148,377
513,148,487
514,148,555
515,148,561
516,148,622
517,148,744
518,148,987
519,148,1381
520,148,1356
521,148,886
522,148,547
523,148,273
524,148,198
525,148,300
526,148,447
527,148,579
528,148,609
529,148,622
530,148,522
531,148,420
532,148,339
533,148,343
534,148,286
535,148,302
536,148,384
537,148,370
538,148,415
539,148,480
540,148,512
541,148,484
542,148,510
543,148,508
544,148,485
545,148,450
546,148,341
547,148,374
548,148,376
549,148,385
550,148,401
551,148,489
552,148,730
553,148,994
554,148,1493
555,148,1231
556,148,958
557,148,808
558,148,732
559,148,712
560,148,446
561,148,471
562,148,470
563,148,439
564,148,412
565,148,550
566,148,541
567,148,402
568,148,308
569,148,299
570,148,266
571,148,240
572,148,221
573,148,222
490,149,422
491,149,471
492,149,518
493,149,455
494,149,393
495,149,386
496,149,385
497,149,340
498,149,326
499,149,315
500,149,322
501,149,397
502,149,421
503,149,481
504,149,590
505,149,745
506,149,885
507,149,733
508,149,578
509,149,497
510,149,493
511,149,520
512,149,509
513,149,517
514,149,529
515,149,544
516,149,599
517,149,698
518,149,846
519,149,1002
520,149,981
521,149,779
522,149,586
523,149,460
524,149,456
525,149,563
526,149,725
527,149,878
528,149,894
529,149,782
530,149,627
531,149,494
532,149,404
533,149,364
534,149,346
535,149,374
536,149,444
537,149,521
538,149,620
539,149,701
540,149,720
541,149,700
542,149,696
543,149,672
544,149,604
545,149,523
546,149,454
547,149,450
548,149,477
549,149,522
550,149,571
551,149,633
552,149,750
553,149,891
554,149,1042
555,149,973
556,149,842
557,149,736
558,149,671
559,149,641
560,149,583
561,149,598
562,149,587
563,149,534
564,149,494
565,149,511
566,149,486
567,149,410
568,149,344
569,149,314
570,149,279
571,149,264
572,149,257
573,149,262
490,150,448
491,150,451
492,150,460
493,150,435
494,150,409
495,150,407
496,150,418
497,150,416
498,150,389
499,150,371
500,150,370
501,150,410
502,150,433
503,150,469
504,150,526
505,150,596
506,150,637
507,150,589
508,150,532
509,150,543
510,150,611
511,150,669
512,150,621
513,150,558
514,150,525
515,150,524
516,150,559
517,150,620
518,150,698
519,150,762
520,150,751
521,150,669
522,150,590
523,150,571
524,150,638
525,150,765
526,150,934
527,150,1109
528,150,1110
529,150,922
530,150,721
531,150,559
532,150,451
533,150,397
534,150,387
535,150,428
536,150,522
537,150,666
538,150,844
539,150,977
540,150,990
541,150,961
542,150,921
543,150,887
544,150,749
545,150,611
546,150,535
547,150,534
548,150,595
549,150,682
550,150,759
551,150,796
552,150,806
553,150,818
554,150,836
555,150,794
556,150,720
557,150,651
558,150,613
559,150,612
560,150,641
561,150,703
562,150,693
563,150,604
564,150,541
565,150,522
566,150,484
567,150,423
568,150,362
569,150,331
570,150,315
571,150,289
572,150,284
573,150,269
490,151,413
491,151,412
492,151,412
493,151,405
494,151,404
495,151,421
496,151,450
497,151,475
498,151,479
499,151,469
500,151,444
501,151,397
502,151,416
503,151,434
504,151,460
505,151,488
506,151,500
507,151,487
508,151,492
509,151,553
510,151,673
511,151,791
