"","long","lat","cluster_id","add.data"
"1",493,180,1,1125
"2",493,181,1,1241
"3",493,182,1,1047
"4",494,166,1,1077
"5",494,167,1,1086
"6",494,176,1,1094
"7",494,177,1,1107
"8",494,178,1,1054
"9",494,179,1,1070
"10",494,180,1,1191
"11",494,181,1,1281
"12",494,182,1,1072
"13",495,166,1,1108
"14",495,167,1,1118
"15",495,175,1,1178
"16",495,176,1,1358
"17",495,177,1,1374
"18",495,178,1,1243
"19",495,179,1,1149
"20",495,180,1,1153
"21",495,181,1,1115
"22",495,197,1,1011
"23",495,198,1,1032
"24",495,201,1,1093
"25",496,166,1,1005
"26",496,174,1,1058
"27",496,175,1,1298
"28",496,176,1,1560
"29",496,177,1,1596
"30",496,178,1,1443
"31",496,179,1,1372
"32",496,180,1,1291
"33",496,181,1,1097
"36",496,197,1,1193
"37",496,198,1,1206
"38",496,199,1,1023
"39",496,200,1,1024
"40",496,201,1,1101
"41",497,165,1,1082
"42",497,166,1,1157
"43",497,167,1,1049
"44",497,174,1,1113
"45",497,175,1,1317
"46",497,176,1,1530
"47",497,177,1,1638
"48",497,178,1,1519
"49",497,179,1,1604
"50",497,180,1,1522
"51",497,181,1,1200
"52",497,197,1,1139
"53",497,198,1,1124
"57",498,165,1,1109
"58",498,166,1,1219
"59",498,167,1,1191
"60",498,168,1,1194
"61",498,169,1,1100
"62",498,170,1,1078
"63",498,171,1,1075
"64",498,172,1,1051
"65",498,173,1,1108
"66",498,174,1,1266
"67",498,175,1,1429
"68",498,176,1,1629
"69",498,177,1,1648
"70",498,178,1,1485
"71",498,179,1,1608
"72",498,180,1,1536
"73",498,181,1,1209
"74",498,196,1,1104
"75",498,197,1,1265
"76",498,198,1,1140
"81",499,166,1,1176
"82",499,167,1,1456
"83",499,168,1,1497
"84",499,169,1,1340
"85",499,170,1,1397
"86",499,171,1,1394
"87",499,172,1,1288
"88",499,173,1,1303
"89",499,174,1,1463
"90",499,175,1,1625
"91",499,176,1,1525
"92",499,177,1,1465
"93",499,178,1,1385
"94",499,179,1,1451
"95",499,180,1,1388
"96",499,181,1,1148
"97",499,188,1,1184
"98",499,189,1,1186
"99",499,196,1,1250
"100",499,197,1,1531
"101",499,198,1,1227
"105",500,166,1,1189
"106",500,167,1,1488
"107",500,168,1,1551
"108",500,169,1,1480
"109",500,170,1,1733
"110",500,171,1,1750
"111",500,172,1,1533
"112",500,173,1,1580
"113",500,174,1,1593
"114",500,175,1,1629
"115",500,176,1,1446
"116",500,177,1,1309
"117",500,178,1,1432
"118",500,179,1,1634
"119",500,180,1,1596
"120",500,181,1,1289
"121",500,188,1,1227
"122",500,189,1,1210
"123",500,195,1,1086
"124",500,196,1,1223
"125",500,197,1,1289
"126",500,198,1,1101
"129",501,166,1,1143
"130",501,167,1,1301
"131",501,168,1,1364
"132",501,169,1,1490
"133",501,170,1,1786
"134",501,171,1,1834
"135",501,172,1,1633
"136",501,173,1,1790
"137",501,174,1,1745
"138",501,175,1,1441
"139",501,176,1,1266
"140",501,177,1,1231
"141",501,178,1,1498
"142",501,179,1,1865
"143",501,180,1,1845
"144",501,181,1,1419
"145",501,182,1,1050
"146",501,187,1,1110
"147",501,188,1,1135
"148",501,189,1,1039
"149",501,194,1,1098
"150",501,195,1,1344
"151",501,196,1,1377
"152",501,197,1,1188
"153",502,160,1,1094
"154",502,161,1,1090
"155",502,165,1,1157
"156",502,166,1,1294
"157",502,167,1,1281
"158",502,168,1,1244
"159",502,169,1,1399
"160",502,170,1,1647
"161",502,171,1,1800
"162",502,172,1,1655
"163",502,173,1,1632
"164",502,174,1,1531
"165",502,175,1,1285
"166",502,176,1,1118
"167",502,177,1,1197
"168",502,178,1,1480
"169",502,179,1,1794
"170",502,180,1,1785
"171",502,181,1,1445
"172",502,182,1,1115
"173",502,186,1,1157
"174",502,187,1,1443
"175",502,188,1,1415
"176",502,189,1,1114
"177",502,194,1,1254
"178",502,195,1,1579
"179",502,196,1,1567
"180",502,197,1,1220
"182",503,159,1,1071
"183",503,160,1,1355
"184",503,161,1,1387
"185",503,162,1,1192
"186",503,163,1,1094
"187",503,164,1,1200
"188",503,165,1,1416
"189",503,166,1,1605
"190",503,167,1,1448
"191",503,168,1,1308
"192",503,169,1,1490
"193",503,170,1,1866
"194",503,171,1,2157
"195",503,172,1,1887
"196",503,173,1,1516
"197",503,174,1,1298
"198",503,175,1,1125
"199",503,176,1,1047
"200",503,177,1,1232
"201",503,178,1,1602
"202",503,179,1,2044
"203",503,180,1,2045
"204",503,181,1,1609
"205",503,182,1,1270
"206",503,183,1,1213
"207",503,184,1,1171
"208",503,185,1,1159
"209",503,186,1,1409
"210",503,187,1,1676
"211",503,188,1,1502
"212",503,189,1,1142
"213",503,193,1,1168
"214",503,194,1,1332
"215",503,195,1,1475
"216",503,196,1,1395
"217",503,197,1,1124
"218",503,205,1,1013
"219",503,206,1,1018
"223",504,159,1,1055
"224",504,160,1,1372
"225",504,161,1,1463
"226",504,162,1,1373
"227",504,163,1,1335
"228",504,164,1,1502
"229",504,165,1,1579
"230",504,166,1,1677
"231",504,167,1,1494
"232",504,168,1,1342
"233",504,169,1,1521
"234",504,170,1,1914
"235",504,171,1,2238
"236",504,172,1,1984
"237",504,173,1,1566
"238",504,174,1,1231
"239",504,175,1,1114
"240",504,176,1,1103
"241",504,177,1,1260
"242",504,178,1,1620
"243",504,179,1,1985
"244",504,180,1,1996
"245",504,181,1,1675
"246",504,182,1,1498
"247",504,183,1,1591
"248",504,184,1,1555
"249",504,185,1,1376
"250",504,186,1,1494
"251",504,187,1,1690
"252",504,188,1,1428
"253",504,189,1,1093
"254",504,192,1,1156
"255",504,193,1,1482
"256",504,194,1,1710
"257",504,195,1,1553
"258",504,196,1,1243
"259",504,197,1,1001
"260",504,205,1,1192
"261",504,206,1,1171
"263",505,160,1,1163
"264",505,161,1,1429
"265",505,162,1,1649
"266",505,163,1,1607
"267",505,164,1,1773
"268",505,165,1,1778
"269",505,166,1,1567
"270",505,167,1,1460
"271",505,168,1,1371
"272",505,169,1,1506
"273",505,170,1,1849
"274",505,171,1,2231
"275",505,172,1,2179
"276",505,173,1,1770
"277",505,174,1,1410
"278",505,175,1,1306
"279",505,176,1,1302
"280",505,177,1,1408
"281",505,178,1,1846
"282",505,179,1,2339
"283",505,180,1,2350
"284",505,181,1,1915
"285",505,182,1,1697
"286",505,183,1,1913
"287",505,184,1,1905
"288",505,185,1,1595
"289",505,186,1,1452
"290",505,187,1,1426
"291",505,188,1,1253
"292",505,189,1,1050
"293",505,191,1,1077
"294",505,192,1,1335
"295",505,193,1,1744
"296",505,194,1,2173
"297",505,195,1,1740
"298",505,196,1,1314
"299",505,204,1,1150
"300",505,205,1,1199
"301",505,206,1,1063
"302",506,160,1,1039
"303",506,161,1,1388
"304",506,162,1,1727
"305",506,163,1,1799
"306",506,164,1,1723
"307",506,165,1,1684
"308",506,166,1,1655
"309",506,167,1,1767
"310",506,168,1,1684
"311",506,169,1,1686
"312",506,170,1,2018
"313",506,171,1,2502
"314",506,172,1,2487
"315",506,173,1,1988
"316",506,174,1,1722
"317",506,175,1,1636
"318",506,176,1,1609
"319",506,177,1,1597
"320",506,178,1,1925
